"accepted_taxa","original_taxa_Ladouceur2019","Clonal.index_Ladouceur2019","Clonal.presence_Ladouceur2019","Flowering.duration_month_Ladouceur2019","Flowering.onset_month_Ladouceur2019","Plant.height_cm_Ladouceur2019","Radial.growth_mm.year-1_Ladouceur2019","Seed.dormancy_Ladouceur2019","Seed.mass_mg_Ladouceur2019","Seeding.onset_month_Ladouceur2019","Seeding.season_Ladouceur2019","SLA_cm2.g-1_Ladouceur2019"
"Alisma plantago-aquatica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alkanna tinctoria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alkekengi officinarum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alliaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alliaria petiolata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium","Allium sphaerocephalon_Allium vineale","3","1",3,"5_6",56.25,NA,"",4.5171,"8_9","Late summer",57
"Allium ampeloprasum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium cepa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium cyrilli",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium flavum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium neapolitanum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium nigrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium oleraceum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium paniculatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium polyanthum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium porrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium roseum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium rotundum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium sativum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium scaberrimum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium scorodoprasum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium sphaerocephalon","Allium sphaerocephalon","3","1",3,"6",62.5,NA,"",1.5302,"9","Late summer",57
"Allium subhirsutum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium triquetrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium ursinum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium vineale","Allium vineale","3","1",3,"5",50,NA,"",7.504,"8","Late summer",NA
"Alnus glutinosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alopecurus","Alopecurus pratensis","3","1",3,"5",73.75,NA,"Pd",0.760454545,"8","Late summer",299.4
"Alopecurus aequalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alopecurus geniculatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alopecurus myosuroides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alopecurus pratensis","Alopecurus pratensis","3","1",3,"5",73.75,NA,"Pd",0.760454545,"8","Late summer",299.4
"Alopecurus pratensis pratensis","Alopecurus pratensis","3","1",3,"5",73.75,NA,"Pd",0.760454545,"8","Late summer",299.4
"Alopecurus rendlei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alopecurus utriculatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alpagrostis setacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Althaea cannabina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Althaea officinalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alyssum","Alyssum montanum","","0",2,"4",15,0.8,"",0.8364,"6","Summer",12.5
"Alyssum alyssoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alyssum granatense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alyssum minutum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alyssum montanum","Alyssum montanum","","0",2,"4",15,0.8,"",0.8364,"6","Summer",12.5
"Alyssum simplex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amaranthaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amaranthus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amaranthus albus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amaranthus blitoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amaranthus blitum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amaranthus blitum emarginatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amaranthus caudatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amaranthus crispus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amaranthus cruentus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amaranthus deflexus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amaranthus graecizans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amaranthus hybridus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amaranthus powellii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amaranthus powellii bouchonii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amaranthus retroflexus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amaranthus spinosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amaranthus tricolor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amaranthus viridis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ambrosia artemisiifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ambrosia psilostachya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ambrosia trifida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ammi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ammi majus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ammi majus majus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ammoides pusilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anacamptis morio","Anacamptis morio","","",4,"3",30,NA,"",NA,"7","Summer",NA
"Anacamptis pyramidalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anacyclus clavatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anagallis arvensis caerulea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anagyris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anchusa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anchusa arvensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anchusa azurea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anchusa hybrida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anchusa officinalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anchusa puechii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anchusa undulata hybrida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrachne telephioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Androsace elongata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Androsace maxima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andryala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andryala integrifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andryala rothia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anemone coronaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anemone hortensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anemonoides nemorosa","Anemone nemorosa","4","1",4,"2",22.08333333,NA,"",2.50584,"6","Summer",262.4663954
"Anethum graveolens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angelica archangelica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angelica sylvestris","Angelica sylvestris","","0",3,"7",104.125,NA,"",1.786952381,"10","Autumn",261.55
"Antennaria dioica","Antennaria dioica","5","1",3,"6",15,NA,"Nd",0.055,"9","Late summer",NA
"Anthemis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthemis arvensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthemis arvensis arvensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthemis arvensis incrassata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthemis cotula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthemis maritima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthemis ruthenica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthoxanthum","Anthoxanthum aristatum_Anthoxanthum odoratum","4","0_1",3,"4_5",31.070833335,NA,"Pd",0.413023421,"7_8","Late summer_Summer",289.8430197
"Anthoxanthum aristatum","Anthoxanthum aristatum","","0",2,"5",27.6,NA,"",0.38731,"7","Summer",253.7860394
"Anthoxanthum odoratum","Anthoxanthum odoratum","4","1",4,"4",34.54166667,NA,"Pd",0.438736842,"8","Late summer",325.9
"Anthriscus","Anthriscus sylvestris","3","1",5,"4",74.8,NA,"Mpd",4.205538462,"9","Late summer",358.4295424
"Anthriscus caucalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthriscus cerefolium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthriscus sylvestris","Anthriscus sylvestris","3","1",5,"4",74.8,NA,"Mpd",4.205538462,"9","Late summer",358.4295424
"Anthriscus sylvestris sylvestris","Anthriscus sylvestris","3","1",5,"4",74.8,NA,"Mpd",4.205538462,"9","Late summer",358.4295424
"Anthyllis circinnata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthyllis vulneraria","Anthyllis vulneraria","","0",5,"5",17.5,NA,"Py",2.793211111,"10","Autumn",14.6
"Anthyllis vulneraria vulneraria","Anthyllis vulneraria","","0",5,"5",17.5,NA,"Py",2.793211111,"10","Autumn",14.6
"Antirrhinum majus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apera interrupta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apera spica-venti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apera spica-venti spica-venti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aphanes arvensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aphyllanthes","Aphyllanthes monspeliensis","","",2,"4",30,NA,"",NA,"6","Summer",NA
"Aphyllanthes monspeliensis","Aphyllanthes monspeliensis","","",2,"4",30,NA,"",NA,"6","Summer",NA
"Apiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apium graveolens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aquilegia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aquilegia vulgaris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arabidopsis","Arabidopsis halleri","4","1",3,"4",5,NA,"",0.195,"7","Summer",35.88
"Arabidopsis arenosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arabidopsis arenosa arenosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arabidopsis halleri","Arabidopsis halleri","4","1",3,"4",5,NA,"",0.195,"7","Summer",35.88
"Arabidopsis thaliana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arabis","Arabis hirsuta","","0",3,"5",28.25,NA,"",0.102723077,"8","Late summer",281
"Arabis hirsuta","Arabis hirsuta","","0",3,"5",28.25,NA,"",0.102723077,"8","Late summer",281
"Arabis sagittata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arctium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arctium lappa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arctium minus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arctium tomentosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aremonia agrimonoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arenaria","Arenaria serpyllifolia","","0",5,"5",22.45,NA,"Pd",0.066480702,"10","Autumn",96.3
"Arenaria hispanica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arenaria serpyllifolia","Arenaria serpyllifolia","","0",5,"5",22.45,NA,"Pd",0.066480702,"10","Autumn",96.3
"Arenaria serpyllifolia leptoclados","Arenaria serpyllifolia","","0",5,"5",22.45,NA,"Pd",0.066480702,"10","Autumn",96.3
"Argentina anserina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina anserina anserina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aria edulis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arisarum simorrhinum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arisarum vulgare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aristolochia clematitis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armoracia rusticana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arnoseris minima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrhenatherum","Arrhenatherum elatius","5","1",3,"5",126.6911458,NA,"",3.023636364,"8","Late summer",269.6912268
"Arrhenatherum elatius","Arrhenatherum elatius","5","1",3,"5",126.6911458,NA,"",3.023636364,"8","Late summer",269.6912268
"Arrhenatherum elatius bulbosum","Arrhenatherum elatius","5","1",3,"5",126.6911458,NA,"",3.023636364,"8","Late summer",269.6912268
"Arrhenatherum elatius elatius","Arrhenatherum elatius","5","1",3,"5",126.6911458,NA,"",3.023636364,"8","Late summer",269.6912268
"Artemisia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Artemisia abrotanum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Artemisia absinthium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Artemisia annua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Artemisia herba-alba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Artemisia verlotiorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Artemisia vulgaris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arum italicum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arum maculatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arundo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arundo donax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arundo plinii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asclepias syriaca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asparagaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asparagus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asparagus acutifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asparagus officinalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asparagus tenuifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asperugo procumbens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asperula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asperula arvensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asphodelus","Asphodelus albus","2","1",3,"5",90,NA,"",13.49,"8","Late summer",NA
"Asphodelus ramosus","Asphodelus albus","2","1",3,"5",90,NA,"",13.49,"8","Late summer",NA
"Aster",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aster squamatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aster subulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asteraceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Astragalus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Astragalus alopecurus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Astragalus boeticus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Astragalus cicer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Astragalus glycyphyllos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Astragalus hamosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Astragalus sesameus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atocion armeria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atriplex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atriplex glabriuscula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atriplex halimus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atriplex hortensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atriplex littoralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atriplex oblongifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atriplex patula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atriplex prostrata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atriplex prostrata calotheca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atriplex prostrata calotheca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atriplex sagittata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atriplex tatarica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Avena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Avena barbata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Avena fatua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Avena sativa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Avena sativa sativa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Avena sterilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Avena sterilis ludoviciana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
