"accepted_taxa","original_taxa_Ecoflora","Plant.height_m_Ecoflora","Flowering_Ecoflora","Root.depth_m_Ecoflora","Root.type_Ecoflora","Seed.mass_mg_Ecoflora","original_taxa_Biolflor","Flower.color_Biolflor","Flower.pollinator_Biolflor","Flower.sex_Biolflor","Flower.sex.timing_Biolflor","Flower.UV.reflectance_Biolflor","Plant.lifespan_Biolflor","Seed.mass_mg_Biolflor","Seed.length_mm_Biolflor","Strategy_Grime_Biolflor"
"Agrostis","Agrostis canina_Agrostis capillaris_Agrostis curtisii_Agrostis gigantea_Agrostis stolonifera",0.475,"",0.525,"",0.055,"Agrostis canina_Agrostis capillaris_Agrostis gigantea_Agrostis stolonifera","","","","",NA,NA,NA,NA,""
"Agrostis canina","Agrostis canina",0.4,"",NA,"",0.05,"Agrostis canina","","","","",NA,NA,NA,NA,""
"Agrostis capillaris","Agrostis capillaris",0.4,"",0.75,"",0.06,"Agrostis capillaris","","","","",NA,NA,NA,NA,""
"Agrostis curtisii","Agrostis curtisii",0.5,"",0.3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis gigantea","Agrostis gigantea",0.4,"",NA,"",0.09,"Agrostis gigantea","","","","",NA,NA,NA,NA,""
"Agrostis stolonifera","Agrostis stolonifera",0.675,"",NA,"",0.02,"Agrostis stolonifera","","","","",NA,NA,NA,NA,""
"Agrostis stolonifera var. stolonifera","Agrostis stolonifera",0.675,"",NA,"",0.02,"Agrostis stolonifera","","","","",NA,NA,NA,NA,""
"Ailanthus altissima","Ailanthus altissima",26,"",NA,"",33.3,"Ailanthus altissima","","","","",NA,NA,NA,NA,""
"Aira armoricana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aira caryophyllea","Aira caryophyllea",0.3,"",NA,"",0.17,"Aira caryophyllea","","","","",NA,NA,NA,NA,""
"Aira cupaniana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aira multiculmis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ajuga chamaepitys","Ajuga chamaepitys",0.05,"",0.05,"",1.16,"Ajuga chamaepitys","","","","",3.5,NA,NA,NA,""
"Ajuga genevensis",NA,NA,NA,NA,NA,NA,"Ajuga genevensis","","","","",11.5,NA,NA,NA,""
"Ajuga iva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ajuga reptans","Ajuga reptans",0.2,"",NA,"",NA,"Ajuga reptans","","","","",18.5,NA,NA,NA,""
"Alcea rosea",NA,NA,NA,NA,NA,NA,"Alcea rosea","","","","",NA,NA,6.77,3.71666666666667,""
"Alchemilla","Alchemilla acutiloba_Alchemilla xanthochlora",0.65,"",NA,"",NA,"Alchemilla micans_Alchemilla xanthochlora","","","","",NA,NA,NA,NA,""
"Alchemilla acutiloba","Alchemilla acutiloba",0.65,"",NA,"",NA,"Alchemilla micans","","","","",NA,NA,NA,NA,""
"Alchemilla xanthochlora","Alchemilla xanthochlora",NA,"",NA,"",NA,"Alchemilla xanthochlora","","","","",NA,NA,NA,NA,""
"Alisma lanceolatum","Alisma lanceolatum",1,"",NA,"",NA,"Alisma lanceolatum","","","","",NA,NA,NA,NA,""
"Alisma plantago-aquatica","Alisma plantago-aquatica",0.466666666666667,"",NA,"",0.27,"Alisma plantago-aquatica","","","","",11.5,NA,NA,NA,""
"Alkanna matthioli",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alkekengi officinarum",NA,NA,NA,NA,NA,NA,"Alkekengi officinarum","","","","",NA,NA,1.558,1.85,""
"Alliaria petiolata","Alliaria petiolata",0.533333333333333,"",NA,"",2.25,"Alliaria petiolata","","","","",3.5,NA,2.55933333333333,3.31,""
"Allium","Allium schoenoprasum",0.275,"",NA,"",1.02,"Allium schoenoprasum","","","","",3.5,NA,0.883333333333333,2.76333333333333,""
"Allium ampeloprasum",NA,NA,NA,NA,NA,NA,"Allium ampeloprasum","","","","",NA,NA,3,2.75,""
"Allium cepa",NA,NA,NA,NA,NA,NA,"Allium cepa","","","","",NA,NA,5,2.8,""
"Allium cyrilli",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium neapolitanum","Allium neapolitanum",0.5,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium nigrum",NA,NA,NA,NA,NA,NA,"Allium nigrum","","","","",NA,NA,NA,NA,""
"Allium oleraceum","Allium oleraceum",0.525,"",NA,"",NA,"Allium oleraceum","","","","",NA,NA,NA,NA,""
"Allium pallens",NA,NA,NA,NA,NA,NA,"Allium flavum","","","","",NA,NA,1.357,3.41666666666667,""
"Allium paniculatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium polyanthum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium porrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium roseum","Allium roseum",0.75,"",NA,"",NA,"Allium roseum","","","","",NA,NA,1.762,3.54666666666667,""
"Allium rotundum",NA,NA,NA,NA,NA,NA,"Allium rotundum","","","","",NA,NA,1.39333333333333,2.22666666666667,""
"Allium sativum",NA,NA,NA,NA,NA,NA,"Allium sativum","","","","",NA,NA,NA,NA,""
"Allium scaberrimum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium scorodoprasum","Allium scorodoprasum",0.55,"",NA,"",NA,"Allium scorodoprasum","","","","",3.5,NA,NA,NA,""
"Allium sphaerocephalon","Allium sphaerocephalon",0.55,"",NA,"",1.8,"Allium sphaerocephalon","","","","",3.5,NA,1.68233333333333,2.49666666666667,""
"Allium subhirsutum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium triquetrum","Allium triquetrum",0.35,"",NA,"",5.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium vineale","Allium vineale",0.7,"",0.3,"",0.5,"Allium vineale","","","","",NA,NA,NA,NA,""
"Alnus glutinosa","Alnus glutinosa",14,"",NA,"",1.37,"Alnus glutinosa","","","","",NA,NA,NA,NA,""
"Alopecurus","Alopecurus geniculatus_Alopecurus myosuroides_Alopecurus pratensis",0.513888888888889,"",1.5,"",0.906666666666667,"Alopecurus geniculatus_Alopecurus myosuroides_Alopecurus pratensis_Alopecurus rendlei","","","","",NA,NA,NA,NA,""
"Alopecurus geniculatus","Alopecurus geniculatus",0.275,"",NA,"",0.04,"Alopecurus geniculatus","","","","",NA,NA,NA,NA,""
"Alopecurus myosuroides","Alopecurus myosuroides",0.566666666666667,"",1.5,"",2,"Alopecurus myosuroides","","","","",NA,NA,NA,NA,""
"Alopecurus pratensis","Alopecurus pratensis",0.7,"",NA,"",0.68,"Alopecurus pratensis","","","","",NA,NA,NA,NA,""
"Alopecurus rendlei",NA,NA,NA,NA,NA,NA,"Alopecurus rendlei","","","","",NA,NA,NA,NA,""
"Alopecurus utriculatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Althaea cannabina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Althaea officinalis","Althaea officinalis",0.9,"",NA,"",2.91,"Althaea officinalis","","","","",NA,NA,NA,2.30666666666667,""
"Alyssum","Alyssum alyssoides",0.16,"",NA,"",0.56,"Alyssum alyssoides_Alyssum montanum","","","","",18.5,NA,0.5075,1.745,""
"Alyssum alyssoides","Alyssum alyssoides",0.16,"",NA,"",0.56,"Alyssum alyssoides","","","","",NA,NA,0.415,1.49,""
"Alyssum granatense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alyssum minutum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alyssum montanum",NA,NA,NA,NA,NA,NA,"Alyssum montanum","","","","",18.5,NA,0.6,2,""
"Alyssum simplex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amaranthaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amaranthus",NA,NA,NA,NA,NA,NA,"Amaranthus albus_Amaranthus blitoides_Amaranthus blitum_Amaranthus blitum subsp. emarginatus_Amaranthus caudatus_Amaranthus deflexus_Amaranthus graecizans_Amaranthus hybridus_Amaranthus powellii_Amaranthus retroflexus","","","","",3.5,NA,0.622388888888889,1.18513333333333,""
"Amaranthus albus",NA,NA,NA,NA,NA,NA,"Amaranthus albus","","","","",NA,NA,0.264,0.926666666666667,""
"Amaranthus blitoides",NA,NA,NA,NA,NA,NA,"Amaranthus blitoides","","","","",NA,NA,1.219,1.53666666666667,""
"Amaranthus blitum",NA,NA,NA,NA,NA,NA,"Amaranthus blitum","","","","",NA,NA,NA,1.22666666666667,""
"Amaranthus blitum subsp. emarginatus",NA,NA,NA,NA,NA,NA,"Amaranthus blitum subsp. emarginatus","","","","",NA,NA,NA,0.936666666666667,""
"Amaranthus caudatus",NA,NA,NA,NA,NA,NA,"Amaranthus caudatus","","","","",NA,NA,0.67,1.23666666666667,""
"Amaranthus deflexus",NA,NA,NA,NA,NA,NA,"Amaranthus deflexus","","","","",NA,NA,NA,1.08333333333333,""
"Amaranthus graecizans",NA,NA,NA,NA,NA,NA,"Amaranthus graecizans","","","","",NA,NA,0.768333333333333,1.45666666666667,""
"Amaranthus hybridus",NA,NA,NA,NA,NA,NA,"Amaranthus hybridus","","","","",NA,NA,NA,1.16666666666667,""
"Amaranthus powellii",NA,NA,NA,NA,NA,NA,"Amaranthus powellii","","","","",NA,NA,0.407,1.068,""
"Amaranthus powellii subsp. bouchonii",NA,NA,NA,NA,NA,NA,"Amaranthus powellii","","","","",NA,NA,0.407,1.068,""
"Amaranthus retroflexus",NA,NA,NA,NA,NA,NA,"Amaranthus retroflexus","","","","",3.5,NA,0.406,1.21333333333333,""
"Amaranthus tricolor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amaranthus viridis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ambrosia artemisiifolia",NA,NA,NA,NA,NA,NA,"Ambrosia artemisiifolia","","","","",NA,NA,NA,NA,""
"Ambrosia psilostachya",NA,NA,NA,NA,NA,NA,"Ambrosia psilostachya","","","","",NA,NA,NA,NA,""
"Ammi majus",NA,NA,NA,NA,NA,NA,"Ammi majus","","","","",NA,NA,NA,NA,""
"Ammoides pusilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anacamptis morio","Anacamptis morio",0.25,"",0.05,"",NA,"Anacamptis morio","","","","",12.5,NA,NA,0.5,""
"Anacamptis pyramidalis","Anacamptis pyramidalis",0.483333333333333,"",NA,"",NA,"Anacamptis pyramidalis","","","","",11.5,NA,NA,0.3,""
"Anacyclus clavatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anacyclus radiatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anaphalis margaritacea",NA,NA,NA,NA,NA,NA,"Anaphalis margaritacea","","","","",3.5,NA,NA,NA,""
"Anchusa",NA,NA,NA,NA,NA,NA,"Anchusa italica_Anchusa officinalis","","","","",21.5,NA,NA,NA,""
"Anchusa azurea",NA,NA,NA,NA,NA,NA,"Anchusa italica","","","","",NA,NA,NA,NA,""
"Anchusa hybrida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anchusa officinalis",NA,NA,NA,NA,NA,NA,"Anchusa officinalis","","","","",21.5,NA,NA,NA,""
"Anchusa puechii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrachne telephioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Androsace elongata",NA,NA,NA,NA,NA,NA,"Androsace elongata","","","","",NA,NA,NA,0.903333333333333,""
"Androsace maxima",NA,NA,NA,NA,NA,NA,"Androsace maxima","","","","",NA,NA,1.94933333333333,2.39,""
"Andryala integrifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andryala rothia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anemone coronaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anemone hortensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anethum graveolens",NA,NA,NA,NA,NA,NA,"Anethum graveolens","","","","",11.5,NA,NA,NA,""
"Angelica sylvestris","Angelica sylvestris",0.502,"",NA,"",1.78333333333333,"Angelica sylvestris","","","","",11.5,NA,NA,NA,""
"Anisantha diandra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anisantha madritensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anisantha rigida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anisantha rubens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anisantha sterilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anisantha tectorum","Bromus tectorum",0.5,"",0.3,"",3.7,"Bromus tectorum","","","","",NA,NA,NA,NA,""
"Antennaria dioica","Antennaria dioica",0.18,"",NA,"",NA,"Antennaria dioica","","","","",3.5,NA,NA,NA,""
"Anthemis","Anthemis arvensis_Anthemis cotula",0.3875,"",0.35,"",0.625,"Anthemis arvensis_Anthemis cotula_Anthemis ruthenica","","","","",3.5,NA,NA,NA,""
"Anthemis arvensis","Anthemis arvensis",0.375,"",0.4,"",0.85,"Anthemis arvensis","","","","",3.5,NA,NA,NA,""
"Anthemis arvensis subsp. arvensis","Anthemis arvensis",0.375,"",0.4,"",0.85,"Anthemis arvensis","","","","",3.5,NA,NA,NA,""
"Anthemis arvensis subsp. incrassata","Anthemis arvensis",0.375,"",0.4,"",0.85,"Anthemis arvensis","","","","",3.5,NA,NA,NA,""
"Anthemis austriaca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthemis cotula","Anthemis cotula",0.4,"",0.3,"",0.4,"Anthemis cotula","","","","",3.5,NA,NA,NA,""
"Anthemis maritima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthemis ruthenica",NA,NA,NA,NA,NA,NA,"Anthemis ruthenica","","","","",NA,NA,NA,NA,""
"Anthoxanthum aristatum",NA,NA,NA,NA,NA,NA,"Anthoxanthum aristatum","","","","",NA,NA,NA,NA,""
"Anthoxanthum odoratum","Anthoxanthum odoratum",0.3,"",0.75,"",0.45,"Anthoxanthum odoratum","","","","",NA,NA,NA,NA,""
"Anthriscus","Anthriscus caucalis_Anthriscus sylvestris",0.691666666666667,"",1.5,"",4.68,"Anthriscus caucalis_Anthriscus cerefolium_Anthriscus sylvestris","","","","",3.5,NA,NA,NA,""
"Anthriscus caucalis","Anthriscus caucalis",0.583333333333333,"",1.5,"",NA,"Anthriscus caucalis","","","","",NA,NA,NA,NA,""
"Anthriscus cerefolium",NA,NA,NA,NA,NA,NA,"Anthriscus cerefolium","","","","",NA,NA,NA,NA,""
"Anthriscus sylvestris","Anthriscus sylvestris",0.8,"",NA,"",4.68,"Anthriscus sylvestris","","","","",3.5,NA,NA,NA,""
"Anthyllis circinnata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthyllis vulneraria","Anthyllis vulneraria",0.36,"",0.3,"",2.3,"Anthyllis vulneraria","","","","",3.5,NA,2.31533333333333,2.29,""
"Anthyllis vulneraria subsp. vulneraria","Anthyllis vulneraria",0.36,"",0.3,"",2.3,"Anthyllis vulneraria","","","","",3.5,NA,2.31533333333333,2.29,""
"Antirrhinum majus","Antirrhinum majus",0.55,"",NA,"",0.23,"Antirrhinum majus","","","","",3.5,NA,0.123333333333333,0.853333333333333,""
"Apera interrupta","Apera interrupta",0.375,"",0.75,"",0.04,"Apera interrupta","","","","",NA,NA,NA,NA,""
"Apera spica-venti","Apera spica-venti",1,"",0.75,"",0.12,"Apera spica-venti","","","","",NA,NA,NA,NA,""
"Aphanes arvensis","Aphanes arvensis",0.11,"",0.05,"",0.19,"Aphanes arvensis","","","","",NA,NA,NA,NA,""
"Aphanes australis","Aphanes australis",0.11,"",NA,"",NA,"Aphanes australis","","","","",NA,NA,NA,NA,""
"Aphyllanthes monspeliensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apium","Apium graveolens",0.65,"",NA,"",0.35,"Apium graveolens","","","","",NA,NA,NA,NA,""
"Apium graveolens","Apium graveolens",0.65,"",NA,"",0.35,"Apium graveolens","","","","",NA,NA,NA,NA,""
"Aquilegia vulgaris","Aquilegia vulgaris",0.7,"",NA,"",1.95,"Aquilegia vulgaris","","","","",11.5,NA,1.60233333333333,2.4,""
"Arabidopsis","Arabidopsis thaliana",0.1625,"",NA,"",0.03,"Arabidopsis arenosa_Arabidopsis thaliana","","","","",3.5,NA,0.066,0.813333333333333,""
"Arabidopsis arenosa",NA,NA,NA,NA,NA,NA,"Arabidopsis arenosa","","","","",3.5,NA,0.109,1.17,""
"Arabidopsis arenosa subsp. arenosa",NA,NA,NA,NA,NA,NA,"Arabidopsis arenosa","","","","",3.5,NA,0.109,1.17,""
"Arabidopsis thaliana","Arabidopsis thaliana",0.1625,"",NA,"",0.03,"Arabidopsis thaliana","","","","",3.5,NA,0.023,0.456666666666667,""
"Arabis","Arabis hirsuta",0.368,"",NA,"",0.09,"Arabis hirsuta","","","","",11.5,NA,0.096,1.33333333333333,""
"Arabis hirsuta","Arabis hirsuta",0.368,"",NA,"",0.09,"Arabis hirsuta","","","","",11.5,NA,0.096,1.33333333333333,""
"Arctium","Arctium lappa_Arctium minus",1.63333333333333,"",0.3,"",9.53375,"Arctium lappa_Arctium minus_Arctium tomentosum","","","","",7.625,NA,NA,NA,""
"Arctium lappa","Arctium lappa",2.1,"",NA,"",8.73,"Arctium lappa","","","","",3.5,NA,NA,NA,""
"Arctium minus","Arctium minus",1.16666666666667,"",0.3,"",10.3375,"Arctium minus","","","","",15.875,NA,NA,NA,""
"Arctium tomentosum",NA,NA,NA,NA,NA,NA,"Arctium tomentosum","","","","",3.5,NA,NA,NA,""
"Aremonia agrimonoides agrimonoides",NA,NA,NA,NA,NA,NA,"Aremonia agrimonoides","","","","",NA,NA,NA,NA,""
"Arenaria hispanica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arenaria leptoclados",NA,NA,NA,NA,NA,NA,"Arenaria leptoclados","","","","",NA,NA,0.039,0.486666666666667,""
"Arenaria serpyllifolia","Arenaria serpyllifolia",0.03,"",0.9,"",0.06,"Arenaria serpyllifolia","","","","",11.5,NA,0.0513333333333333,0.533333333333333,""
"Argentina anserina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina anserina subsp. anserina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aria edulis","Sorbus aria",17.5,"",NA,"",163.666666666667,"Sorbus aria","","","","",NA,NA,22,6,""
"Arisarum simorrhinum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arisarum vulgare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aristolochia clematitis","Aristolochia clematitis",0.5,"",NA,"",NA,"Aristolochia clematitis","","","","",11.5,NA,NA,10,""
"Armoracia rusticana","Armoracia rusticana",1.25,"",NA,"",NA,"Armoracia rusticana","","","","",11.5,NA,NA,1.8,""
"Arnoseris minima","Arnoseris minima",0.146666666666667,"",NA,"",0.47,"Arnoseris minima","","","","",NA,NA,NA,NA,""
"Arrhenatherum elatius","Arrhenatherum elatius",1.26666666666667,"",1.5,"",2.39,"Arrhenatherum elatius","","","","",NA,NA,NA,NA,""
"Arrhenatherum elatius subsp. bulbosum","Arrhenatherum elatius",1.26666666666667,"",1.5,"",2.39,"Arrhenatherum elatius","","","","",NA,NA,NA,NA,""
"Arrhenatherum elatius subsp. elatius","Arrhenatherum elatius",1.26666666666667,"",1.5,"",2.39,"Arrhenatherum elatius","","","","",NA,NA,NA,NA,""
"Artemisia abrotanum",NA,NA,NA,NA,NA,NA,"Artemisia abrotanum","","","","",NA,NA,NA,NA,""
"Artemisia absinthium","Artemisia absinthium",0.6,"",NA,"",0.0916666666666667,"Artemisia absinthium","","","","",3.5,NA,NA,NA,""
"Artemisia annua",NA,NA,NA,NA,NA,NA,"Artemisia annua","","","","",NA,NA,NA,NA,""
"Artemisia herba-alba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Artemisia verlotiorum","Artemisia verlotiorum",1.5,"",NA,"",NA,"Artemisia verlotiorum","","","","",NA,NA,NA,NA,""
"Artemisia vulgaris","Artemisia vulgaris",0.9,"",NA,"",0.12,"Artemisia vulgaris","","","","",11.5,NA,NA,NA,""
"Arum","Arum italicum_Arum maculatum",0.303333333333333,"",NA,"",45.95,"Arum maculatum","","","","",11.5,NA,39.421,4.51333333333333,""
"Arum italicum","Arum italicum",0.29,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arum maculatum","Arum maculatum",0.316666666666667,"",NA,"",45.95,"Arum maculatum","","","","",11.5,NA,39.421,4.51333333333333,""
