"accepted_taxa","original_taxa_YvozValPol","Flower.color_YvozValPol","Flower.class_YvozValPol","Flower.type_YvozValPol","PV.Bees_YvozValPol","PV.Bumblebees_YvozValPol","PV.butterflies_YvozValPol","PV.Hoverflies_YvozValPol","Nectar.quantity_YvozValPol","Pollen.quantity_YvozValPol","Floral.symmetry_YvozValPol","Flower.UV.reflectance.centre_YvozValPol","Flower.UV.reflectanceperiphery_YvozValPol","original_taxa_SPVignes","Flowering.onset_SPVignes","Germination.range_SPVignes","Germination.start_SPVignes","Plant.height_cm_SPVignes","Strategy_Grime_SPVignes","Lifeform_Raunkier_SPVignes","original_taxa_ATVinedivers","Growth.form_ATVinedivers","Strategy.Grime_ATVinedivers","Plant.lifespan_ATVinedivers"
"Achillea millefolium","Achillea millefolium","White","Flowers with totally hidden nectar","Flower heads, asteraceae, ray and disk flowers",5.51,4.78,5.53,6.21,"Present","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,"Achillea millefolium","H","Csr","P"
"Achillea odorata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Achillea ptarmica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Achnatherum calamagrostis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adonis","Adonis aestivalis_Adonis annua_Adonis flammea","Red","Pollen flowers","Pollen flower",4.39,1,3.74,4.39,"None","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adonis aestivalis","Adonis aestivalis","Red","Pollen flowers","Pollen flower",4.39,1,3.74,4.39,"None","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adonis annua","Adonis annua","Red","Pollen flowers","Pollen flower",4.39,1,3.74,4.39,"None","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adonis flammea","Adonis flammea","Red","Pollen flowers","Pollen flower",4.39,1,3.74,4.39,"None","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adoxa moschatellina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aegilops","Aegilops geniculata_Aegilops triuncialis","Green","Wind flowers","Not applicable",1,1,2.458076092,1,"None","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aegilops biuncialis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aegilops cylindrica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aegilops geniculata","Aegilops geniculata","Green","Wind flowers","Not applicable",1,1,2.458076092,1,"None","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aegilops neglecta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aegilops triuncialis","Aegilops triuncialis","Green","Wind flowers","Not applicable",1,1,2.458076092,1,"None","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aegonychon purpurocaeruleum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aegopodium podagraria","Aegopodium podagraria","White","Flowers with open nectar","Disk flowers with nectar open",4.638654512,3.886983048,6.23151492,5.225195199,"Present","Present","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aesculus hippocastanum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aethusa cynapium","Aethusa cynapium","White","Flowers with open nectar","Disk flowers with nectar open",1,3.93,5.33,4.77,"Plenty","Plenty","Zygomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aethusa cynapium subsp. cynapium","Aethusa cynapium","White","Flowers with open nectar","Disk flowers with nectar open",1,3.93,5.33,4.77,"Plenty","Plenty","Zygomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrimonia agrimonoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrimonia eupatoria","Agrimonia eupatoria","Yellow","Pollen flowers","Pollen flower",4.97,1,4.1,5.54,"None","Plenty","Actinomorphe",53,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agropyron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostemma githago","Agrostemma githago","Purple","Butterfly flowers","Stalk disc flowers, stamina and pistil outside tube",4.7,4.7,8.6,4.7,"Present","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,"Agrostemma githago","H","R","A"
"Agrostis","Agrostis capillaris_Agrostis gigantea_Agrostis stolonifera","Green_Yellow","Wind flowers","Not applicable",1,1,2.31800393333333,1,"None","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,"Agrostis capillaris_Agrostis stolonifera","G","Cr_Csr","P"
"Agrostis canina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis capillaris","Agrostis capillaris","Yellow","Wind flowers","Not applicable",1,1,2.9320059,1,"None","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,"Agrostis capillaris","G","Csr","P"
"Agrostis curtisii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis gigantea","Agrostis gigantea","Yellow","Wind flowers","Not applicable",1,1,2.9320059,1,"None","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis stolonifera","Agrostis stolonifera","Green","Wind flowers","Not applicable",1,1,1.09,1,"None","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,"Agrostis stolonifera","G","Cr","P"
"Agrostis stolonifera var. stolonifera","Agrostis stolonifera","Green","Wind flowers","Not applicable",1,1,1.09,1,"None","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,"Agrostis stolonifera","G","Cr","P"
"Ailanthus altissima","Ailanthus altissima","Yellow","Flowers with open nectar","Disk flowers with nectar open",5.134255699,4.369182232,6.803708239,5.680770864,"Present","Present","Actinomorphe",3.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aira armoricana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aira caryophyllea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aira cupaniana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aira multiculmis","Aira multiculmis","Green","Wind flowers","Not applicable",1,1,2.458076092,1,"None","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ajuga chamaepitys","Ajuga chamaepitys","Yellow","Bumble bee flowers","True lip flowers",1,6.22,7.49,1,"Present","Plenty","Zygomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ajuga genevensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ajuga genevensis","H","Csr","P"
"Ajuga iva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ajuga reptans","Ajuga reptans","Blue","Bumble bee flowers","True lip flowers",4.874224353,5.953657459,7.605661515,3.071236555,"Present","Present","Zygomorphe",3.5,33.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alcea rosea","Alcea rosea","Purple","Flowers with totally hidden nectar","Disk flowers with nectar hidden nectaries at base of stamens",5.11,4.85,6.46,5.11,"Present","Plenty","Actinomorphe",3.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alchemilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alchemilla acutiloba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alchemilla xanthochlora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alisma lanceolatum","Alisma lanceolatum","Pink","Flowers with partly hidden nectar","Disk flowers with nectar hidden nectaries at base of stamens",4.872296112,4.443195114,6.698541342,5.015672458,"Present","Little","Actinomorphe",3.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alisma plantago-aquatica","Alisma plantago-aquatica","White","Flowers with partly hidden nectar","Disk flowers with nectar hidden nectaries at base of stamens",5.039439178,4.50982742,6.833937216,5.293153451,"Present","Little","Actinomorphe",11.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alkanna matthioli",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alkekengi officinarum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alliaria petiolata","Alliaria petiolata","White","Flowers with partly hidden nectar","Disk flowers with nectar hidden nectaries at base of stamens",4.91478646,3.883413673,6.387027383,5.830232254,"Present","Present","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium","Allium cepa_Allium oleraceum_Allium paniculatum_Allium polyanthum_Allium roseum_Allium rotundum_Allium sphaerocephalon_Allium vineale","Pink_Purple_Rose_White","Flowers with totally hidden nectar","Disk flowers with nectar hidden_Disk flowers with nectar hidden nectaries at base of stamens",4.464541151,4.0082477165,6.02242452325,4.72174649075,"Plenty_Present","Little_Plenty","Actinomorphe",3.5,9.5,"Allium polyanthum_Allium vineale","4_6","Na","Na",150,"S-r","Géophytes à bulbe",NA,NA,NA,NA
"Allium ampeloprasum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium cepa","Allium cepa","White","Flowers with totally hidden nectar","Disk flowers with nectar hidden",4.598373001,4.006336293,6.280108332,4.983629343,"Present","Plenty","Actinomorphe",3.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium cyrilli",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium neapolitanum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium nigrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium oleraceum","Allium oleraceum","Purple","Flowers with totally hidden nectar","Disk flowers with nectar hidden",4.25,4.3,5.54,4.1,"Plenty","Little","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium pallens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium paniculatum","Allium paniculatum","White","Flowers with totally hidden nectar","Disk flowers with nectar hidden nectaries at base of stamens",4.626180403,4.024263087,6.306737573,5.020967725,"Present","Plenty","Actinomorphe",3.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium polyanthum","Allium polyanthum","Pink","Flowers with totally hidden nectar","Disk flowers with nectar hidden",4.576171178,4.097542775,6.32214083,4.817688469,"Present","Plenty","Actinomorphe",3.5,11.5,"Allium polyanthum","4","Na","Na",200,"","Géophytes à bulbe",NA,NA,NA,NA
"Allium porrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium roseum","Allium roseum","Rose","Flowers with totally hidden nectar","Disk flowers with nectar hidden nectaries at base of stamens",4.466526132,3.934551776,6.161773858,4.789544604,"Present","Plenty","Actinomorphe",3.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium rotundum","Allium rotundum","Purple","Flowers with totally hidden nectar","Disk flowers with nectar hidden",4.520166413,4.083946253,5.54,4.713450194,"Present","Plenty","Actinomorphe",3.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium sativum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium scaberrimum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium scorodoprasum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium sphaerocephalon","Allium sphaerocephalon","Purple","Flowers with totally hidden nectar","Disk flowers with nectar hidden",4.173406432,3.614093566,5.802201311,4.56559268,"Plenty","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium subhirsutum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium triquetrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium vineale","Allium vineale","Purple","Flowers with totally hidden nectar","Disk flowers with nectar hidden",4.505505649,4.005247982,6.226434282,4.783098911,"Plenty","Plenty","Actinomorphe",3.5,11.5,"Allium vineale","6","Na","Na",100,"S-r","Géophytes à bulbe",NA,NA,NA,NA
"Alnus glutinosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alopecurus","Alopecurus myosuroides_Alopecurus pratensis","Green_Yellow","Wind flowers","Not applicable",1,1,2.006000213,1,"None","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alopecurus geniculatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alopecurus myosuroides","Alopecurus myosuroides","Green","Wind flowers","Not applicable",1,1,1.09,1,"None","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alopecurus pratensis","Alopecurus pratensis","Yellow","Wind flowers","Not applicable",1,1,2.922000426,1,"None","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alopecurus rendlei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alopecurus utriculatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Althaea cannabina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Althaea officinalis","Althaea officinalis","White","Flowers with totally hidden nectar","Disk flowers with nectar hidden nectaries at base of stamens",5.182524527,4.360921723,6.826311723,5.796385297,"Present","Present","Actinomorphe",3.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alyssum","Alyssum alyssoides_Alyssum simplex","White_Yellow","Flowers with partly hidden nectar","Disk flowers with nectar hidden nectaries at base of stamens",4.400284544,3.5655663635,5.902626008,5.121529777,"None_Present","Plenty","Actinomorphe",3.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alyssum alyssoides","Alyssum alyssoides","Yellow","Flowers with partly hidden nectar","Disk flowers with nectar hidden nectaries at base of stamens",4.049654088,3.246328763,5.510950698,4.770949494,"None","Plenty","Actinomorphe",3.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alyssum granatense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alyssum minutum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alyssum montanum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alyssum simplex","Alyssum simplex","White","Flowers with partly hidden nectar","Disk flowers with nectar hidden nectaries at base of stamens",4.750915,3.884803964,6.294301318,5.47211006,"Present","Plenty","Actinomorphe",3.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amaranthaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amaranthus","Amaranthus albus_Amaranthus blitoides_Amaranthus blitum_Amaranthus deflexus_Amaranthus graecizans_Amaranthus hybridus_Amaranthus hybridus subsp. bouchonii_Amaranthus retroflexus","Green","Wind flowers","Not applicable",1.986198269375,1.65000287025,3.361280423375,2.338786943125,"None_Present","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,"Amaranthus sp.","H","Na","A"
"Amaranthus albus","Amaranthus albus","Green","Wind flowers","Not applicable",2.316590423,1.920971474,3.726495591,2.712334209,"Present","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,"Amaranthus albus","H","Sr","A"
"Amaranthus blitoides","Amaranthus blitoides","Green","Wind flowers","Not applicable",2.316590423,1.920971474,3.726495591,2.712334209,"Present","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amaranthus blitum","Amaranthus blitum","Green","Wind flowers","Not applicable",2.316590423,1.920971474,3.726495591,2.712334209,"Present","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amaranthus blitum subsp. emarginatus","Amaranthus blitum","Green","Wind flowers","Not applicable",2.316590423,1.920971474,3.726495591,2.712334209,"Present","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amaranthus caudatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amaranthus deflexus","Amaranthus deflexus","Green","Wind flowers","Not applicable",2.316590423,1.920971474,3.726495591,2.712334209,"Present","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amaranthus graecizans","Amaranthus graecizans","Green","Wind flowers","Not applicable",2.316590423,1.920971474,3.726495591,2.712334209,"Present","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amaranthus hybridus","Amaranthus hybridus","Green","Wind flowers","Not applicable",1.65331702,1.297582796,2.973882716,2.07431225,"None","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amaranthus powellii","Amaranthus hybridus subsp. bouchonii","Green","Wind flowers","Not applicable",1.65331702,1.297582796,2.973882716,2.07431225,"None","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,"Amaranthus powelii","H","Cr","A"
"Amaranthus powellii subsp. bouchonii","Amaranthus hybridus subsp. bouchonii","Green","Wind flowers","Not applicable",1.65331702,1.297582796,2.973882716,2.07431225,"None","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,"Amaranthus powelii","H","Cr","A"
"Amaranthus retroflexus","Amaranthus retroflexus","Green","Wind flowers","Not applicable",1,1,2.31,1,"None","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,"Amaranthus retroflexus","H","Cr","A"
"Amaranthus tricolor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amaranthus viridis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ambrosia artemisiifolia","Ambrosia artemisiifolia","Green","Wind flowers","Not applicable",2.89,2.63,4.34,3.58,"None","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ambrosia psilostachya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ammi majus","Ammi majus","White","Flowers with open nectar","Disk flowers with nectar open",1,5.5,6.33,7.11,"Present","Plenty","Actinomorphe",3.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ammoides pusilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anacamptis morio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anacamptis pyramidalis","Anacamptis pyramidalis","Red","Butterfly flowers","Lip flowers",3.640239399,4.142484527,5.814741704,2.72458253,"None","Plenty","Zygomorphe",11.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anacyclus clavatus","Anacyclus clavatus","White","Flowers with totally hidden nectar","Disk flowers with nectar hidden nectaries at base of stamens",4.34435359,3.573599897,5.875511798,4.989547334,"Present","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anacyclus radiatus","Anacyclus radiatus","Yellow","Flowers with totally hidden nectar","Disk flowers with nectar hidden nectaries at base of stamens",4.638465299,3.949667791,6.269007024,5.143914959,"Present","Plenty","Actinomorphe",3.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
