"accepted_taxa","original_taxa_GIFT","Dispersal.mode_1_GIFT","Dispersal.mode_2_GIFT","Flower.color_GIFT","Flower.length_max_cm_GIFT","Flower.length_min_cm_GIFT","Flower.width_max_cm_GIFT","Flower.width_min_cm_GIFT","Fruit.colour_GIFT","Growth.form_1_GIFT","Growth.form_2_GIFT","Inflorescence_GIFT","Leaf.length_cm_GIFT","Leaf.area_cm2_GIFT","Leaf.width_cm_GIFT","Lifecycle_GIFT","Photosynthetic.pathway_GIFT","Plant.height_max_m_GIFT","Plant.height_mean_m_GIFT","Plant.height_min_m_GIFT","Pollination.syndrome_1_GIFT","Pollination.syndrome_2_GIFT","Pollination.syndrome_3_GIFT","Seed.mass_g_GIFT","SLA_cm2.g-1_GIFT"
"Acacia mearnsii","Acacia mearnsii","","Unspecialized","",NA,NA,NA,NA,"","Tree","","",NA,NA,NA,"Perennial","C3",50,15,2.5,"Biotic","Insect","",0.013245,NA
"Acacia spirorbis","Acacia spirorbis","","","Yellow",NA,NA,NA,NA,"","Tree","","",NA,NA,NA,"","",4,NA,2,"","","",NA,NA
"Acalypha","Acalypha arvensis_Acalypha ciliata_Acalypha crenata_Acalypha indica_Acalypha paniculata_Acalypha petiolaris_Acalypha segetalis","","","",NA,NA,NA,NA,"","Herb","Forb_Herb","",2.75,NA,2,"Annual_Perennial","C3",3.34483459316667,1.20833333333333,0.251666666666667,"","","",0.00074,NA
"Acalypha alopecuroides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha arvensis","Acalypha arvensis","","","",NA,NA,NA,NA,"","Herb","Forb","",NA,NA,NA,"","",NA,NA,NA,"","","",NA,NA
"Acalypha ciliata","Acalypha ciliata","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","",6.705681541,0.9,0.4,"","","",0.00087,NA
"Acalypha crenata","Acalypha crenata","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","",3.657644477,NA,0.2,"","","",NA,NA
"Acalypha indica","Acalypha indica","","","",NA,NA,NA,NA,"","Herb","Forb","",2.75,NA,2,"Annual","C3",1,0.975,0.5,"","","",0.00061,NA
"Acalypha paniculata","Acalypha paniculata","","","",NA,NA,NA,NA,"","","","",NA,NA,NA,"Perennial","",3.048037064,1.75,0.3,"","","",NA,NA
"Acalypha petiolaris","Acalypha petiolaris","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","",2,NA,0.1,"","","",NA,NA
"Acalypha segetalis","Acalypha segetalis","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","",3.657644477,NA,0.01,"","","",NA,NA
"Acanthocereus tetragonus","Acanthocereus tetragonus","","","",NA,NA,NA,NA,"","Shrub","Shrub","",NA,NA,NA,"Perennial","Cam",NA,3,NA,"","","",NA,NA
"Acanthospermum australe","Acanthospermum australe","","","",NA,NA,NA,NA,"","Herb","","",3,NA,NA,"Annual","",0.8,0.377401853,0.1,"","","",0.01106,NA
"Acanthospermum hispidum","Acanthospermum hispidum","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Annual","C3",1.3,0.5,0.2,"","","",0.007405,NA
"Achyranthes aspera","Achyranthes aspera","Zoochorous","","Red",0.7,0.35,NA,NA,"","Herb","","Panicle",NA,NA,0.4,"Perennial","C3",2,1.38,0.11,"Biotic","Insect","",0.00336368625,NA
"Acmella caulirhiza","Acmella caulirhiza","Anemochorous","Anemochorous","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","",NA,0.6,NA,"","","",NA,NA
"Acmella uliginosa","Acmella uliginosa","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","",0.4,0.3,NA,"","","",9.5e-05,NA
"Acridocarpus smeathmannii","Acridocarpus smeathmanii","Anemochorous","","",NA,NA,NA,NA,"","Shrub","Shrub","",NA,NA,NA,"","",NA,NA,NA,"","","",NA,NA
"Acroceras amplectens","Acroceras amplectens","","","",NA,NA,NA,NA,"","Herb","Graminoid","",NA,NA,NA,"Annual","",0.9,NA,0.6,"","","",0.00408,NA
"Acroceras gabunense","Acroceras gabunense","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","",NA,NA,NA,"","","",NA,NA
"Acroceras hubbardii","Acroceras hubbardii","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"","",NA,NA,NA,"","","",NA,NA
"Acroceras zizanioides","Acroceras zizanioides","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","",1.2,NA,0.6,"","","",NA,NA
"Adenia cissampeloides","Adenia cissampeloides","","","",NA,NA,NA,NA,"","","","",NA,NA,NA,"","",NA,25,NA,"","","",NA,NA
"Adenia lobata","Adenia lobata","","","",NA,NA,NA,NA,"","","","",NA,NA,NA,"Perennial","",NA,35,NA,"","","",NA,NA
"Adenopodia scelerata","Adenopodia scelerata","","","",NA,NA,NA,NA,"","","","",NA,NA,NA,"Perennial","",NA,15,NA,"","","",NA,NA
"Adenosma indiana","Adenosma indiana","","","",NA,NA,NA,NA,"","Herb","Herb","",3,NA,NA,"Annual","",0.6,0.395,0.19,"","","",NA,NA
"Adiantum vogelii","Adiantum vogelii","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"","",NA,NA,NA,"","","",NA,NA
"Aerva javanica","Aerva javanica","Anemochorous","","",NA,NA,NA,NA,"","","","",NA,NA,NA,"Perennial","C4",1.6,1.5,0.3,"","","",0.000342,NA
"Aeschynomene","Aeschynomene afraspera_Aeschynomene americana_Aeschynomene indica_Aeschynomene patula_Aeschynomene sensitiva","","","",NA,NA,NA,NA,"","Herb_Shrub","Subshrub","",NA,NA,NA,"Perennial","C3",2.942940746,1.7357351865,0.5572055595,"Biotic","Insect","Insect",0.006871111,NA
"Aeschynomene afraspera","Aeschynomene afraspera","","","",NA,NA,NA,NA,"","Shrub","","",NA,NA,NA,"Perennial","C3",1.828822238,2,0.914411119,"Biotic","Insect","Insect",NA,NA
"Aeschynomene americana","Aeschynomene americana","","","",NA,NA,NA,NA,"","Herb","Subshrub","",NA,NA,NA,"Perennial","C3",2,1.2072055595,NA,"","","",0.00465,NA
"Aeschynomene indica","Aeschynomene indica","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"","C3",5,2,0.2,"","","",0.007253333,NA
"Aeschynomene patula","Aeschynomene patula","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"","",NA,NA,NA,"","","",NA,NA
"Aeschynomene sensitiva","Aeschynomene sensitiva","","","",NA,NA,NA,NA,"","","","",NA,NA,NA,"Perennial","C3",NA,NA,NA,"","","",0.00871,NA
"Aframomum alboviolaceum","Aframomum alboviolaceum","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","",3.048037064,2,1.524018532,"","","",NA,NA
"Afrocayratia gracilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afromorus mesozygia","Morus mesozygia","","","",NA,NA,NA,NA,"","Tree","Tree","",NA,NA,NA,"Perennial","C3",35,27,5,"Biotic","Insect","Bee",NA,NA
"Aganope leucobotrya","Aganope leucobotrya","","","",NA,NA,NA,NA,"","Tree","Tree","",NA,NA,NA,"","",NA,NA,NA,"","","",NA,NA
"Agelaea pentagyna","Agelaea pentagyna","","","",NA,NA,NA,NA,"","Shrub","Shrub","",NA,NA,NA,"Perennial","",3.048037064,16.85960741275,NA,"","","",0.5,NA
"Ageratina riparia","Ageratina riparia","Anemochorous","Anemochorous","White",NA,NA,0.5,0.4,"Black","","","",NA,NA,2,"Perennial","",2,0.725,0.3,"Biotic","Insect","Insect",NA,NA
"Ageratum conyzoides","Ageratum conyzoides","","","",NA,NA,NA,NA,"","Herb","","",5.5,NA,3.5,"Annual","C3",1.5,0.7625,0.25,"Biotic","Insect","Insect",0.0001325,NA
"Ageratum houstonianum","Ageratum houstonianum","","","",NA,NA,NA,NA,"","Herb","Forb","",4,NA,2.5,"Annual","C3",1,0.525,0.15,"Biotic","Insect","",0.000125,NA
"Agrostis capillaris","Agrostis capillaris","Anemochorous","","",0.23,0.15,NA,NA,"","Herb","","Panicle",NA,3.35667,0.2,"Perennial","C3",1,0.43,0.1,"Abiotic","Wind","Wind",6.91625e-05,345.35
"Agrostis salaziensis","Agrostis salaziensis","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"","",NA,NA,NA,"","","",NA,NA
"Alafia barteri","Alafia barteri","","","",NA,NA,NA,NA,"","Shrub","Shrub","",NA,NA,NA,"","",NA,25,NA,"","","",NA,NA
"Albertisia cordifolia","Albertisia cordifolia","","","",NA,NA,NA,NA,"","Shrub","Shrub","",NA,NA,NA,"","",NA,12,NA,"","","",NA,NA
"Albertisia scandens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albizia adianthifolia","Albizia adianthifolia","Autochorous","Autochorous","",NA,NA,NA,NA,"","Tree","Tree","",NA,NA,NA,"Perennial","C3",36.57644477,12.5,2.4,"Biotic","Insect","Insect",0.06756,NA
"Albizia chinensis","Albizia chinensis","","","",NA,NA,NA,NA,"","Tree","Tree","",NA,NA,NA,"Perennial","C3",20,30,NA,"Biotic","Insect","Insect",0.0331675,NA
"Albizia dinklagei","Albizia dinklagei","","","",NA,NA,NA,NA,"","Tree","Tree","",NA,NA,NA,"","C3",15.24018532,NA,NA,"","","",NA,NA
"Albizia lebbeck","Albizia lebbeck","","","",0.8,0.6,NA,NA,"","Tree","Tree","",NA,NA,NA,"Perennial","C3",30,15,2.5,"Biotic","Insect","",0.124436285,NA
"Albizia zygia","Albizia zygia","","","",NA,NA,NA,NA,"","Tree","Tree","",NA,NA,NA,"Perennial","C3",24.38429651,25,9,"Biotic","Insect","Bee",NA,NA
"Alchornea cordifolia","Alchornea cordifolia","Autochorous","Autochorous","",NA,NA,NA,NA,"","","Shrub","",NA,NA,NA,"Perennial","C3",NA,6.66666666666667,4,"","","",0.053,NA
"Alectra linearis","Alectra linearis","","","",NA,NA,NA,NA,"","","Herb","",NA,NA,NA,"Annual","",0.431800864,NA,0.152400305,"","","",NA,NA
"Allium chinense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium neapolitanum","Allium neapolitanum","Unspecialized","Unspecialized","",1.2,0.7,NA,NA,"","Herb","Forb","Cyme",NA,NA,1.5,"Perennial","C3",0.6,NA,0.15,"","","",0.0047,NA
"Allophylus africanus","Allophylus africanus","","","",NA,NA,NA,NA,"","Tree","Tree","",NA,NA,NA,"Perennial","",8,7.5,3,"","","",0.045145,NA
"Allophylus spicatus","Allophylus spicatus","","","",NA,NA,NA,NA,"","Shrub","Shrub","",NA,NA,NA,"","",3.657644477,NA,1.219214826,"","","",NA,NA
"Alloteropsis paniculata","Alloteropsis paniculata","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","C4",1.2,NA,NA,"","","",NA,NA
"Alstonia boonei","Alstonia boonei","Anemochorous","","",NA,NA,NA,NA,"","Tree","Tree","",NA,NA,NA,"Perennial","C3",36.57644477,30,9.144111192,"Biotic","Insect","",NA,NA
"Alternanthera","Alternanthera littoralis_Alternanthera pungens_Alternanthera sessilis","Unspecialized_Zoochorous","Epizoochorous","",NA,NA,NA,NA,"","Herb","","",NA,NA,0.5,"Perennial","C4",2.53202470933333,0.533333333333333,0.05,"","","",0.000393333333333333,NA
"Alternanthera littoralis","Alternanthera littoralis","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","",6.096074128,1,NA,"","","",NA,NA
"Alternanthera pungens","Alternanthera pungens","Zoochorous","Epizoochorous","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","C4",0.5,0.3,0,"","","",NA,NA
"Alternanthera sessilis","Alternanthera sessilis","Unspecialized","","",NA,NA,NA,NA,"","Herb","","",NA,NA,0.5,"Perennial","C4",1,0.3,0.1,"","","",0.000393333333333333,NA
"Alysicarpus monilifer","Alysicarpus monilifer","Zoochorous","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","C3",NA,NA,NA,"","","",0.00279,NA
"Alysicarpus ovalifolius","Alysicarpus ovalifolius","","","",NA,NA,NA,NA,"","Herb","Forb","",NA,NA,NA,"Annual","C3",1,0.3,0.304803706,"","","",0.00288,NA
"Alysicarpus rugosus","Alysicarpus rugosus","","","",NA,NA,NA,NA,"","Herb","Forb","",NA,NA,NA,"","C3",1.5,NA,0.2,"","","",0.00270111133333333,NA
"Alysicarpus vaginalis","Alysicarpus vaginalis","Zoochorous","","",NA,NA,NA,NA,"","Herb","Forb","",NA,NA,NA,"Perennial","C3",0.6,0.284133435,0,"Biotic","Insect","Insect",0.00137975,NA
"Amaranthus","Amaranthus blitum_Amaranthus dubius_Amaranthus graecizans_Amaranthus hybridus_Amaranthus spinosus_Amaranthus viridis","Unspecialized","","Green",0.2025,0.1325,NA,NA,"","Herb","Forb_Herb","Panicle",NA,NA,2.54,"Annual","C4",1.61,0.61625,0.180800617666667,"Abiotic","Wind","Wind",0.000424371183333333,NA
"Amaranthus blitum","Amaranthus blitum","","","",0.2,0.13,NA,NA,"","Herb","","Panicle",NA,NA,2.4,"Annual","C4",1,1,0.05,"Abiotic","Wind","",0.000421875,NA
"Amaranthus blitum emarginatus","Amaranthus blitum","","","",0.2,0.13,NA,NA,"","Herb","","Panicle",NA,NA,2.4,"Annual","C4",1,1,0.05,"Abiotic","Wind","",0.000421875,NA
"Amaranthus dubius","Amaranthus dubius","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","",1,NA,0.4,"","","",NA,NA
"Amaranthus graecizans","Amaranthus graecizans","Unspecialized","","",0.2,0.13,NA,NA,"","Herb","Forb","",NA,NA,1,"Annual","C4",0.8,0.40625,0.08,"Abiotic","Wind","",0.000444666666666667,NA
"Amaranthus hybridus","Amaranthus hybridus","Unspecialized","","",0.25,0.15,NA,NA,"","Herb","","Panicle",NA,NA,4.8,"Annual","C4",4.36,0.575,0.15,"Abiotic","Wind","",0.00053427275,NA
"Amaranthus spinosus","Amaranthus spinosus","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,1.5,"Annual","C4",1.5,0.6,0.304803706,"Abiotic","Wind","Wind",0.000306875,NA
"Amaranthus viridis","Amaranthus viridis","Unspecialized","","Green",0.16,0.12,NA,NA,"","Herb","","",NA,NA,3,"Annual","C4",1,0.5,0.1,"Abiotic","Wind","Wind",0.0004141665,NA
"Ammannia","Ammannia auriculata_Ammannia baccifera_Ammannia gracilis","","","",NA,NA,NA,NA,"","Herb","Forb","",NA,NA,NA,"Annual","C3",0.6798037065,0.352401853,0.025,"","","",1.25e-05,NA
"Ammannia auriculata","Ammannia auriculata","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Annual","",0.75,NA,0.05,"","","",1e-05,NA
"Ammannia baccifera","Ammannia baccifera","","","",NA,NA,NA,NA,"","Herb","Forb","",NA,NA,NA,"Annual","C3",0.609607413,0.4,0,"","","",1.5e-05,NA
"Ammannia gracilis","Ammannia gracilis","","","",NA,NA,NA,NA,"","","","",NA,NA,NA,"","",NA,0.304803706,NA,"","","",NA,NA
"Ammannia prieureana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amorphophallus","Amorphophallus johnsonii_Amorphophallus paeoniifolius","","","",NA,NA,25,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","C3",0.5,0.8,0,"Biotic","Insect","Fly",NA,NA
"Amorphophallus johnsonii","Amorphophallus johnsonii","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"","",NA,NA,NA,"","","",NA,NA
"Amorphophallus paeoniifolius","Amorphophallus paeoniifolius","","","",NA,NA,25,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","C3",0.5,0.8,0,"Biotic","Insect","Fly",NA,NA
"Ampelocissus leonensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ampelocissus multistriata","Ampelocissus multistriata","","","",NA,NA,NA,NA,"","","Herb","",NA,NA,NA,"Perennial","",NA,5,NA,"","","",0.02864,NA
"Anadelphia afzeliana","Anadelphia afzeliana","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","",2,NA,1,"","","",NA,NA
"Ananas comosus","Ananas comosus","Unspecialized","Anthropochorous","",NA,NA,1.5,1,"","Herb","","",65,NA,NA,"Perennial","Cam",1,0.955,NA,"","","",NA,NA
"Anchomanes difformis","Anchomanes difformis","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","C3",NA,2,NA,"","","",0.37976,NA
"Ancylobothrys petersiana","Ancylobothrys petersiana","","","",NA,NA,NA,NA,"","","","",NA,NA,NA,"","",NA,6,NA,"","","",NA,NA
"Andropogon gayanus","Andropogon gayanus","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","C4",5,2,1,"","","",NA,NA
"Andropogon gayanus bisquamulatus","Andropogon gayanus","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","C4",5,2,1,"","","",NA,NA
"Andropogon leucostachyus","Andropogon leucostachyus","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","",NA,NA,NA,"","","",NA,NA
"Andropogon tectorum","Andropogon tectorum","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","",3,NA,NA,"","","",0.00171,NA
"Aneilema","Aneilema beniniense_Aneilema lanceolatum_Aneilema paludosum_Aneilema umbrosum","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","",0.73660844075,0.85,NA,"","","",NA,NA
"Aneilema beniniense","Aneilema beniniense","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","",0.914411119,0.85,NA,"","","",NA,NA
"Aneilema lanceolatum","Aneilema lanceolatum","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","",0.914411119,NA,NA,"","","",NA,NA
"Aneilema paludosum","Aneilema paludosum","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"","",0.203200406,NA,NA,"","","",NA,NA
"Aneilema umbrosum","Aneilema umbrosum","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","",0.914411119,NA,NA,"","","",NA,NA
"Angylocalyx oligophyllus","Angylocalyx oligophyllus","","","",NA,NA,NA,NA,"","Tree","","",NA,NA,NA,"","",1.828822238,NA,0.914411119,"","","",NA,NA
"Aniseia martinicensis","Aniseia martinicensis","","","",NA,NA,NA,NA,"","Herb","Forb","",NA,NA,NA,"Perennial","C3",5,NA,0.5,"","","",0.04595,NA
"Annona","Annona senegalensis","Zoochorous","Endozoochorous","",NA,NA,NA,NA,"","Tree","Tree","",NA,NA,NA,"Perennial","C3",8,4.5,1.5,"Biotic","Insect","Beetle",0.119585,NA
"Annona senegalensis","Annona senegalensis","Zoochorous","Endozoochorous","",NA,NA,NA,NA,"","Tree","Tree","",NA,NA,NA,"Perennial","C3",8,4.5,1.5,"Biotic","Insect","Beetle",0.119585,NA
"Anopyxis klaineana","Anopyxis klaineana","","","",NA,NA,NA,NA,"","Tree","Tree","",NA,NA,NA,"Perennial","C3",45.72055596,35,NA,"","","",NA,NA
"Anredera cordifolia","Anredera cordifolia","Unspecialized","","White",0.3,0.25,NA,NA,"","Herb","Forb","",4,NA,3.5,"Perennial","C3",10,9,1.5,"Biotic","Insect","",0.01,NA
"Anthephora cristata","Anthephora cristata","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","C4",1,NA,NA,"","","",NA,NA
"Anthocleista djalonensis","Anthocleista djalonensis","","","",NA,NA,NA,NA,"","Tree","Tree","",NA,NA,NA,"Perennial","",13.71616679,13.5,9.144111192,"","","",0.001705,NA
"Anthocleista nobilis","Anthocleista nobilis","","","",NA,NA,NA,NA,"","Tree","Tree","",NA,NA,NA,"Perennial","",18.28822238,18,7.62009266,"","","",NA,NA
"Anthocleista procera","Anthocleista procera","","","",NA,NA,NA,NA,"","Tree","Tree","",NA,NA,NA,"Perennial","",NA,16.64411119,NA,"","","",NA,NA
"Anthocleista vogelii","Anthocleista vogelii","","","",NA,NA,NA,NA,"","Tree","Tree","",NA,NA,NA,"Perennial","",18.28822238,16.25,6,"","","",NA,NA
"Anthoxanthum odoratum","Anthoxanthum odoratum","","","",0.25,0.2,NA,NA,"","Herb","","Panicle",NA,NA,0.5,"Perennial","C3",1,0.2325,0.1,"Abiotic","Wind","Wind",0.000555769333333333,297.67
"Antiaris toxicaria","Antiaris toxicaria","","","",NA,NA,NA,NA,"","Tree","Tree","",13.3,NA,4.95,"Perennial","C3",45,35.5,10,"","","",0.690586666666667,117.8833922
"Antigonon leptopus","Antigonon leptopus","","Anthropochorous","",NA,NA,NA,NA,"","Other","","Panicle",NA,NA,NA,"Perennial","C3",3,12,1,"","","",0.0705,NA
"Antrocaryon micraster","Antrocaryon micraster","","","",NA,NA,NA,NA,"","Tree","Tree","",NA,NA,NA,"Perennial","C3",45.72055596,40,NA,"","","",NA,NA
"Aponogeton vallisnerioides","Aponogeton vallisnerioides","","","",NA,NA,NA,NA,"","","","",NA,NA,NA,"Perennial","",NA,NA,NA,"","","",NA,NA
"Arachis","Arachis hypogaea_Arachis pintoi","Unspecialized","Anthropochorous","",NA,NA,NA,NA,"","Herb","Forb_Herb","",NA,NA,NA,"Annual_Perennial","C3",0.3,0.35,NA,"Biotic","Insect","Insect",0.6372,NA
"Arachis hypogaea","Arachis hypogaea","Unspecialized","Anthropochorous","",NA,NA,NA,NA,"","Herb","Forb","",NA,NA,NA,"Annual","C3",0.3,0.5,NA,"Biotic","Insect","Insect",0.6372,NA
"Arachis pintoi","Arachis pintoi","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","",NA,0.2,NA,"","","",NA,NA
"Aralia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argemone mexicana","Argemone mexicana","Anemochorous","","",3,2,NA,NA,"","Herb","Forb","",NA,NA,NA,"Annual","C3",1,0.625,0.2,"Biotic","Insect","",0.002042143,NA
"Argomuellera macrophylla","Argomuellera macrophylla","","","",NA,NA,NA,NA,"","","Shrub","",NA,NA,NA,"Perennial","",3.657644477,3.5,0.609607413,"","","",NA,NA
"Arillastrum gummiferum","Arillastrum gummiferum","","","",NA,NA,NA,NA,"","Tree","","",NA,NA,NA,"Perennial","",NA,25,NA,"","","",NA,NA
"Aristida","Aristida adscensionis_Aristida barbicollis_Aristida hordeacea_Aristida kerstingii","Anemochorous","Anemochorous","",1,0.8,3,0.5,"","Herb","Graminoid_Herb","Panicle",NA,NA,NA,"Annual","C4",0.885,0.825,0.166666666666667,"","","",0.001014889,NA
"Aristida adscensionis","Aristida adscensionis","Anemochorous","Anemochorous","",1,0.8,3,0.5,"","Herb","","Panicle",NA,NA,NA,"","C4",1,0.9,0.1,"","","",0.000878,NA
"Aristida barbicollis","Aristida barbicollis","","","",NA,NA,NA,NA,"","Herb","Graminoid","",NA,NA,NA,"","",0.75,0.75,NA,"","","",0.00026,NA
"Aristida hordeacea","Aristida hordeacea","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Annual","C4",0.89,NA,0.1,"","","",0.001906667,NA
"Aristida kerstingii","Aristida kerstingii","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","",0.9,NA,0.3,"","","",NA,NA
"Aristolochia","Aristolochia acuminata_Aristolochia littoralis","Anemochorous","","",NA,NA,NA,NA,"","Herb_Tree","Herb","",NA,NA,NA,"Perennial","",11.5,20,1,"Biotic","Insect","Fly",0.0021,NA
"Aristolochia acuminata","Aristolochia acuminata","Anemochorous","","",NA,NA,NA,NA,"","Tree","","",NA,NA,NA,"","",20,20,NA,"Biotic","Insect","Fly",NA,NA
"Aristolochia littoralis","Aristolochia littoralis","Anemochorous","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","",3,NA,1,"","","",0.0021,NA
"Arivela viscosa","Cleome viscosa","","","",NA,NA,0.4,0.1,"","Herb","","",NA,NA,NA,"Annual","C3",1.6,1.5,0,"","","",0.0018977085,NA
