"accepted_taxa","original_taxa_Groot","Root.lateral.spread_cm.yr-1_Groot","Root.diameter_mm_Groot","Root.C.concentration_Groot","Root.C.N.ratio_Groot","Root.dry.matter_Groot","Root.length.density_cm.cm-3_Groot","Root.mass.fraction_Groot","Root.mycorrhizal.colonization_Groot","Root.N.concentration_Groot","Root.tissue.density_g.cm-3_Groot","Root.depth_m_Groot","Specific.root.length_m.g-1_Groot"
"Aristida kerstingii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aristolochia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aristolochia acuminata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aristolochia littoralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arivela viscosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Artemisia verlotiorum","Artemisia verlotiorum",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Artemisia vulgaris","Artemisia vulgaris",NA,0.241066666666667,NA,NA,NA,NA,0.373838899333333,53.3333333333333,NA,0.1037883275,NA,270.168396544167
"Asclepias mellodora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asparagus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asparagus africanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aspilia africana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aspilia bussei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aspilia helianthoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aspilia helianthoides prieureana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aspilia kotschyi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asplenium aethiopicum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asplenium africanum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Astraea lobata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asystasia buettneri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asystasia gangetica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asystasia vogeliana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Axonopus compressus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Axonopus purpusii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azadirachta indica","Azadirachta indica",NA,NA,NA,NA,NA,NA,NA,NA,17.5,NA,2.6,NA
"Azolla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azolla pinnata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baccharoides guineensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bacopa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bacopa crenata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bacopa decumbens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baissea multiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baissea zygodioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Balanites aegyptiaca","Balanites aegyptiaca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA
"Balanites wilsoniana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baphia nitida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baphia pubescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barbarea verna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basella alba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basilicum polystachyon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bergia suffruticosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bidens cynapiifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bidens pilosa","Bidens pilosa",NA,NA,NA,NA,NA,NA,NA,63,8.5,0.091,NA,59.83
"Biophytum umbraculum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blainvillea acmella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blighia sapida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blighia unijugata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blighia welwitschii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blumea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boehmeria penduliflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boerhavia coccinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boerhavia diffusa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boerhavia erecta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boerhavia repens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bolboschoenus maritimus","Bolboschoenus maritimus",32.1,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA
"Bombax buonopozense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bonnaya antipoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Borassus flabellifer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boswellia dalzielii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bothriospermum zeylanicum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bouffordia dichotoma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brachiaria nana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brachiaria umbellata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brassica juncea","Brassica juncea",NA,NA,NA,NA,0.137733333333333,NA,0.193333333333333,NA,NA,NA,NA,NA
"Brassica rapa","Brassica rapa",NA,NA,NA,NA,NA,NA,NA,NA,14.7,NA,NA,742
"Breynia fruticosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Breynia retusa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bridelia ferruginea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Briza minor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bromus catharticus","Bromus catharticus",NA,0.30525,NA,NA,NA,NA,0.28,45.5,4.9,0.079079135,NA,129.33857035
"Bulbostylis","Bulbostylis barbata",NA,NA,NA,NA,NA,NA,NA,40.515,NA,NA,NA,NA
"Bulbostylis abortiva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulbostylis barbata","Bulbostylis barbata",NA,NA,NA,NA,NA,NA,NA,40.515,NA,NA,NA,NA
"Bulbostylis cioniana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulbostylis hispidula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulbostylis hispidula hispidula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulbostylis hispidula senegalensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulbostylis pilosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Burnatia enneandra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cajanus cajan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cajanus scarabaeoides","Cajanus scarabaeoides",NA,NA,NA,NA,NA,NA,NA,86.15,NA,NA,NA,NA
"Caladium bicolor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calliandra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calopogonium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calopogonium mucunoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calotropis procera","Calotropis procera",NA,NA,NA,NA,NA,NA,0.11,NA,9.6,NA,NA,NA
"Calycobolus africanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calycobolus heudelotii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Camonea umbellata","Merremia umbellata",NA,0.522,435.8,21.14507521,0.1924,NA,NA,NA,20.61,NA,NA,31.68
"Campylostemon warneckeanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canna indica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canthium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cantinoa americana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caperonia fistulosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caperonia palustris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capsicum annuum","Capsicum annuum",NA,0.4775,NA,NA,NA,NA,0.261,NA,NA,0.069,NA,84.8735
"Capsicum frutescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cardamine hirsuta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cardiospermum grandiflorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cardiospermum halicacabum","Cardiospermum halicacabum",NA,NA,NA,NA,NA,NA,NA,50.275,NA,NA,NA,NA
"Cardiospermum microcarpum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carex boryana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carex wahlenbergiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carica papaya","Carica papaya",NA,1.4,NA,NA,NA,NA,0.595,NA,NA,NA,NA,3.8
"Caroxylon imbricatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carpolobia lutea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cassia sieberiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Catharanthus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Catharanthus roseus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cecropia obtusa","Cecropia obtusa",NA,NA,NA,NA,NA,NA,0.18,NA,NA,NA,NA,NA
"Cecropia peltata","Cecropia peltata",NA,NA,NA,NA,NA,NA,NA,NA,4.4,NA,NA,NA
"Ceiba pentandra","Ceiba pentandra",NA,0.937025,460.4146194,NA,NA,NA,0.2975,NA,11.79661512,0.247122123,NA,5.19215938966667
"Celosia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Celosia argentea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Celosia isertii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Celosia trigyna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Celtis mildbraedii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Celtis zenkeri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cenchrus biflorus","Cenchrus biflorus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.016,NA
"Cenchrus cafer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cenchrus ciliaris","Cenchrus ciliaris",NA,NA,479.3,74.1,NA,NA,0.22,NA,6.5,NA,NA,NA
"Cenchrus clandestinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
