"accepted_taxa","original_taxa_Baseflor","Habitat_Baseflor","Chorology_Baseflor","Flower.color_Baseflor","Dispersal.mode_Baseflor","Flowering_Baseflor","Growth.form_Baseflor","Fruit.type_Baseflor","Inflorescence_Baseflor","Pollination_Baseflor","Sexuality_Baseflor"
"Acroceras amplectens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acroceras gabunense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acroceras hubbardii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acroceras zizanioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adenia cissampeloides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adenia lobata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adenopodia scelerata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adenosma indiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adiantum vogelii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aerva javanica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aeschynomene",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aeschynomene afraspera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aeschynomene americana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aeschynomene indica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aeschynomene patula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aeschynomene sensitiva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aframomum alboviolaceum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afrocayratia gracilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afromorus mesozygia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aganope leucobotrya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agelaea pentagyna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ageratina riparia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ageratum conyzoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ageratum houstonianum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis capillaris","Agrostis capillaris","Pelouses des sables continentaux acidophiles à neutroclines, planitiaires-collinéennes","Holarctique","Vert, rose","Barochore","6-9","Hémicryptophytaie","Caryopse","Panicule d'épillets","Anémogame","Hermaphrodite"
"Agrostis salaziensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alafia barteri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albertisia cordifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albertisia scandens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albizia adianthifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albizia chinensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albizia dinklagei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albizia lebbeck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albizia zygia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alchornea cordifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alectra linearis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium chinense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium neapolitanum","Allium neapolitanum","Friches vivaces rudérales pionnières, mésohydriques, commensales des cultures","Méditerranéen","Blanc","Barochore","3-5","Géophytaie","Akène","Ombelle simple","Entomogame","Hermaphrodite"
"Allophylus africanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allophylus spicatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alloteropsis paniculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alstonia boonei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alternanthera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alternanthera littoralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alternanthera pungens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alternanthera sessilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alysicarpus monilifer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alysicarpus ovalifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alysicarpus rugosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alysicarpus vaginalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amaranthus","Amaranthus blitum_Amaranthus blitum subsp. emarginatus_Amaranthus graecizans_Amaranthus hybridus_Amaranthus spinosus_Amaranthus viridis","Friches annuelles, nitrophiles, thermophiles, euryméditerranéennes","Cosmopolite_Européen méridional_Subtropical(paléo)","","","","Thérophytaie","","Panicule spiciforme","Anémogame","Polygame"
"Amaranthus blitum","Amaranthus blitum","Friches annuelles, nitrophiles, thermophiles, euryméditerranéennes","Cosmopolite","","","","Thérophytaie","","Panicule spiciforme","Anémogame","Polygame"
"Amaranthus blitum emarginatus","Amaranthus blitum subsp. emarginatus","Friches annuelles, nitrophiles, thermophiles, euryméditerranéennes","Cosmopolite","","","","Thérophytaie","","Panicule spiciforme","Anémogame","Polygame"
"Amaranthus dubius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amaranthus graecizans","Amaranthus graecizans","Friches annuelles, nitrophiles, thermophiles, euryméditerranéennes","Européen méridional","","","","Thérophytaie","","Panicule spiciforme","Anémogame","Polygame"
"Amaranthus hybridus","Amaranthus hybridus","Friches annuelles, nitrophiles, thermophiles, euryméditerranéennes","Cosmopolite","","","","Thérophytaie","","Panicule spiciforme","Anémogame","Polygame"
"Amaranthus spinosus","Amaranthus spinosus","Friches annuelles, nitrophiles, thermophiles, euryméditerranéennes","Subtropical(paléo)","","","","Thérophytaie","","Panicule spiciforme","Anémogame","Polygame"
"Amaranthus viridis","Amaranthus viridis","Friches annuelles, nitrophiles, thermophiles, euryméditerranéennes","Cosmopolite","","","","Thérophytaie","","Panicule spiciforme","Anémogame","Polygame"
"Ammannia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ammannia auriculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ammannia baccifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ammannia gracilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ammannia prieureana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amorphophallus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amorphophallus johnsonii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amorphophallus paeoniifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ampelocissus leonensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ampelocissus multistriata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anadelphia afzeliana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ananas comosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anchomanes difformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ancylobothrys petersiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andropogon gayanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andropogon gayanus bisquamulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andropogon leucostachyus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andropogon tectorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aneilema",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aneilema beniniense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aneilema lanceolatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aneilema paludosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aneilema umbrosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angylocalyx oligophyllus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aniseia martinicensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Annona",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Annona senegalensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anopyxis klaineana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anredera cordifolia","Anredera cordifolia","Lianes grimpantes sur parois de falaises ou murs, épiphytes sur troncs d'arbres et d'arbustes","Introduit (madeira)","","","","Parvophanérophytaie","","","",""
"Anthephora cristata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthocleista djalonensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthocleista nobilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthocleista procera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthocleista vogelii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthoxanthum odoratum","Anthoxanthum odoratum","Pelouses acidophiles médio-européennes à boréo-subalpines","Holarctique","Jaune","Épizoochore","4-7","Hémicryptophytaie","Caryopse","Panicule d'épillets","Anémogame","Hermaphrodite"
"Antiaris toxicaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antigonon leptopus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antrocaryon micraster",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aponogeton vallisnerioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arachis","Arachis hypogaea","Friches vivaces xérophiles européennes","Introduit (amér. centrale)","","","","Hémicryptophytaie","","","Entomogame","Hermaphrodite"
"Arachis hypogaea","Arachis hypogaea","Friches vivaces xérophiles européennes","Introduit (amér. centrale)","","","","Hémicryptophytaie","","","Entomogame","Hermaphrodite"
"Arachis pintoi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aralia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argemone mexicana","Argemone mexicana","Friches vivaces nitrophiles, thermophiles, estivales, mésoxérophiles","Introduit (amér.)","Jaune","Anémochore","","Thérophytaie","Capsule","Racème simple","Entomogame","Hermaphrodite"
"Argomuellera macrophylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arillastrum gummiferum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aristida","Aristida adscensionis","Pelouses basophiles médio-européennes","Introduit (amér.)","","","","Hémicryptophytaie","","","Anémogame","Hermaphrodite"
"Aristida adscensionis","Aristida adscensionis","Pelouses basophiles médio-européennes","Introduit (amér.)","","","","Hémicryptophytaie","","","Anémogame","Hermaphrodite"
"Aristida barbicollis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aristida hordeacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aristida kerstingii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aristolochia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aristolochia acuminata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aristolochia littoralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arivela viscosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Artemisia verlotiorum","Artemisia verlotiorum","Friches vivaces mésoxérophiles, médio-européennes","Introduit (asie orient.)","Rose","Barochore","7-9","Hémicryptophytaie","Akène","Épi de capitules","Anémogame","Hermaphrodite"
"Artemisia vulgaris","Artemisia vulgaris","Friches vivaces xérophiles européennes","Eurasiatique méridional","Blanc","Barochore","7-9","Hémicryptophytaie","Akène","Épi de capitules","Anémogame","Hermaphrodite"
"Asclepias mellodora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asparagus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asparagus africanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aspilia africana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aspilia bussei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aspilia helianthoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aspilia helianthoides prieureana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aspilia kotschyi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asplenium aethiopicum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asplenium africanum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Astraea lobata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asystasia buettneri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asystasia gangetica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asystasia vogeliana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Axonopus compressus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Axonopus purpusii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azadirachta indica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azolla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azolla pinnata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baccharoides guineensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bacopa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bacopa crenata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bacopa decumbens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baissea multiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baissea zygodioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Balanites aegyptiaca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Balanites wilsoniana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baphia nitida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baphia pubescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barbarea verna","Barbarea verna","Friches vivaces eutrophiles, mésohydriques, héliophiles","Européen occidental","Jaune","Barochore","4-6","Hémicryptophytaie","Silique","Racème simple","Entomogame","Hermaphrodite"
"Basella alba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basilicum polystachyon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bergia suffruticosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bidens cynapiifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bidens pilosa","Bidens pilosa","Friches annuelles hygrophiles à hydrophiles, eutrophiles pionnières, vasicoles","Subtropical","Jaune","Épizoochore","","Thérophytaie","Akène","Cyme de capitules","Entomogame, autogame","Hermaphrodite"
"Biophytum umbraculum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blainvillea acmella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blighia sapida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blighia unijugata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blighia welwitschii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blumea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boehmeria penduliflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boerhavia coccinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boerhavia diffusa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boerhavia erecta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boerhavia repens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bolboschoenus maritimus","Bolboschoenus maritimus","Roselières et cariçaies submaritimes des vases saumâtres","Européen","Marron","Anémochore","6-8","Hémicryptophytaie","Akène","Ombelle simple d'épis","Anémogame","Monoïque"
"Bombax buonopozense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bonnaya antipoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Borassus flabellifer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boswellia dalzielii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bothriospermum zeylanicum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bouffordia dichotoma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brachiaria nana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brachiaria umbellata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brassica juncea","Brassica juncea","Friches annuelles hygrophiles à hydrophiles, eutrophiles pionnières, vasicoles","Introduit (asie)","Jaune","Barochore","","Thérophytaie","Silique","Racème simple","Entomogame","Hermaphrodite"
"Brassica rapa","Brassica rapa","Friches vivaces mésoxérophiles, médio-européennes","Holarctique","Jaune","Barochore","4-6","Hémicryptophytaie","Silique","Racème simple","Entomogame, autogame","Hermaphrodite"
"Breynia fruticosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Breynia retusa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bridelia ferruginea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Briza minor","Briza minor","Annuelles des tonsures acidophiles, thermophiles, mésoméditerranéennes, xérophiles, mésotrophiles","Méditerranéen-atlantique","Vert","Barochore","5-8","Thérophytaie","Caryopse","Panicule d'épillets","Anémogame","Hermaphrodite"
"Bromus catharticus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulbostylis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulbostylis abortiva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulbostylis barbata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulbostylis cioniana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulbostylis hispidula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulbostylis hispidula hispidula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulbostylis hispidula senegalensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulbostylis pilosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Burnatia enneandra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cajanus cajan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cajanus scarabaeoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caladium bicolor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calliandra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calopogonium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calopogonium mucunoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calotropis procera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calycobolus africanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calycobolus heudelotii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Camonea umbellata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Campylostemon warneckeanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canna indica","Canna indica","Friches vivaces mésoxérophiles, médio-européennes","Subtropical","","","","Hémicryptophytaie","","","",""
"Canthium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cantinoa americana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caperonia fistulosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caperonia palustris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capsicum annuum","Capsicum annuum","Friches vivaces eutrophiles, mésohydriques, héliophiles","Introduit (amér. centrale)","","","","Hémicryptophytaie","","","Entomogame","Hermaphrodite"
"Capsicum frutescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cardamine hirsuta","Cardamine hirsuta","Ourlets thérophytiques vernaux, nitrophiles, méridionaux, hémisciaphiles à hémihéliophiles","Circumboréal","Blanc","Anémochore","3-6","Thérophytaie","Silique","Racème simple","Autogame","Hermaphrodite"
"Cardiospermum grandiflorum","Cardiospermum grandiflorum","Fourrés arbustifs et d'arbrisseaux médio-européens, planitiaires à montagnards","Subtropical","","","","Microphanérophytaie","","","",""
"Cardiospermum halicacabum","Cardiospermum halicacabum","Mégaphorbiaies eutrophisées, planitiaires, médio-européennes plutôt occidentales","Introduit (amér. tropicale)","","","","Hémicryptophytaie","","","",""
"Cardiospermum microcarpum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carex boryana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carex wahlenbergiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carica papaya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caroxylon imbricatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carpolobia lutea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cassia sieberiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Catharanthus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Catharanthus roseus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cecropia obtusa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cecropia peltata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ceiba pentandra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Celosia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Celosia argentea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Celosia isertii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Celosia trigyna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Celtis mildbraedii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Celtis zenkeri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cenchrus biflorus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cenchrus cafer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cenchrus ciliaris","Cenchrus ciliaris","Friches vivaces rudérales pionnières, mésoxérophiles à mésohydriques, médio-européennes","Subtropical","","","","Hémicryptophytaie","","","Anémogame","Hermaphrodite"
"Cenchrus clandestinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cenchrus echinatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cenchrus pedicellatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cenchrus purpureus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cenchrus ramosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cenchrus setosus setosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cenchrus violaceus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centella asiatica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centotheca lappacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centrosema",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centrosema brasilianum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centrosema plumieri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
