"accepted_taxa","original_taxa_Tichy2022","Ellenberg.Light_Tichy2022","Ellenberg.Moisture_Tichy2022","Ellenberg.Nutrients_Tichy2022","Ellenberg.Reaction_Tichy2022","Ellenberg.Salinity_Tichy2022","Ellenberg.Temperature_Tichy2022","original_taxa_Lososova2023","Dispersal.distance_class_Lososova2023","Dispersal.mode_Lososova2023","Plant.height_m_Lososova2023","Seed.mass_mg_Lososova2023"
"Acmella uliginosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acridocarpus smeathmannii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acroceras amplectens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acroceras gabunense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acroceras hubbardii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acroceras zizanioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adenia cissampeloides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adenia lobata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adenopodia scelerata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adenosma indiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adiantum vogelii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aerva javanica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aeschynomene",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aeschynomene afraspera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aeschynomene americana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aeschynomene indica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aeschynomene patula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aeschynomene sensitiva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aframomum alboviolaceum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afrocayratia gracilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afromorus mesozygia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aganope leucobotrya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agelaea pentagyna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ageratina riparia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ageratum conyzoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ageratum houstonianum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis capillaris","Agrostis capillaris",7.2,4.9,3.3,3.5,0,4.9,"Agrostis capillaris","2","Local non-specific dispersal",0.411,0.06955
"Agrostis salaziensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alafia barteri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albertisia cordifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albertisia scandens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albizia adianthifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albizia chinensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albizia dinklagei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albizia lebbeck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albizia zygia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alchornea cordifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alectra linearis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium chinense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium neapolitanum","Allium neapolitanum",7.3,4.3,6.7,7.3,0.3,9.3,"Allium neapolitanum","2","Local non-specific dispersal",0.335,NA
"Allophylus africanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allophylus spicatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alloteropsis paniculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alstonia boonei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alternanthera",NA,NA,NA,NA,NA,NA,NA,"Alternanthera pungens","1","Local non-specific dispersal",0.2,0.33
"Alternanthera littoralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alternanthera pungens",NA,NA,NA,NA,NA,NA,NA,"Alternanthera pungens","1","Local non-specific dispersal",0.2,0.33
"Alternanthera sessilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alysicarpus monilifer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alysicarpus ovalifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alysicarpus rugosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alysicarpus vaginalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amaranthus","Amaranthus blitum_Amaranthus blitum aggr._Amaranthus graecizans_Amaranthus hybridus aggr._Amaranthus viridis",8.125,4.45,7.775,7.175,0.3,8.5,"Amaranthus blitum_Amaranthus graecizans_Amaranthus hybridus_Amaranthus spinosus_Amaranthus viridis","2","Local non-specific dispersal",0.56835,0.475937622222222
"Amaranthus blitum","Amaranthus blitum",7.9,4.4,7.9,6.8,0.3,NA,"Amaranthus blitum","2","Local non-specific dispersal",0.5,0.457016666666666
"Amaranthus blitum emarginatus","Amaranthus blitum_Amaranthus blitum aggr.",7.9,4.4,7.9,6.8,0.3,8,"Amaranthus blitum","2","Local non-specific dispersal",0.5,0.457016666666666
"Amaranthus dubius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amaranthus graecizans","Amaranthus graecizans",8.5,4.1,7.9,7.8,0.1,NA,"Amaranthus graecizans","2","Local non-specific dispersal",0.468,0.706933333333333
"Amaranthus hybridus","Amaranthus hybridus aggr.",8.1,4.6,7.3,7.1,0.5,NA,"Amaranthus hybridus","2","Local non-specific dispersal",0.93625,0.520738111111111
"Amaranthus spinosus",NA,NA,NA,NA,NA,NA,NA,"Amaranthus spinosus","2","Local non-specific dispersal",0.505,0.195
"Amaranthus viridis","Amaranthus viridis",8,4.7,8,7,0.3,9,"Amaranthus viridis","2","Local non-specific dispersal",0.4325,0.5
"Ammannia","Ammannia auriculata_Ammannia baccifera",7,9,7,5,0,8.25,"Ammannia auriculata_Ammannia baccifera","2","Local non-specific dispersal",0.4925,0.0125
"Ammannia auriculata","Ammannia auriculata",7,9,7,5,0,8.5,"Ammannia auriculata","2","Local non-specific dispersal",0.45,0.01
"Ammannia baccifera","Ammannia baccifera",7,9,7,5,0,8,"Ammannia baccifera","2","Local non-specific dispersal",0.535,0.015
"Ammannia gracilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ammannia prieureana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amorphophallus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amorphophallus johnsonii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amorphophallus paeoniifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ampelocissus leonensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ampelocissus multistriata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anadelphia afzeliana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ananas comosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anchomanes difformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ancylobothrys petersiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andropogon gayanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andropogon gayanus bisquamulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andropogon leucostachyus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andropogon tectorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aneilema",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aneilema beniniense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aneilema lanceolatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aneilema paludosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aneilema umbrosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angylocalyx oligophyllus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aniseia martinicensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Annona",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Annona senegalensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anopyxis klaineana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anredera cordifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthephora cristata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthocleista djalonensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthocleista nobilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthocleista procera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthocleista vogelii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthoxanthum odoratum","Anthoxanthum odoratum aggr.",7.3,NA,3.2,NA,0.1,3.9,"Anthoxanthum odoratum","2","Local non-specific dispersal",0.358,0.611383333333333
"Antiaris toxicaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antigonon leptopus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antrocaryon micraster",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aponogeton vallisnerioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arachis",NA,NA,NA,NA,NA,NA,NA,"Arachis hypogaea","2","Local non-specific dispersal",0.361666666666667,637.2
"Arachis hypogaea",NA,NA,NA,NA,NA,NA,NA,"Arachis hypogaea","2","Local non-specific dispersal",0.361666666666667,637.2
"Arachis pintoi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aralia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argemone mexicana",NA,NA,NA,NA,NA,NA,NA,"Argemone mexicana","2","Local non-specific dispersal",1,1.9
"Argomuellera macrophylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arillastrum gummiferum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aristida","Aristida adscensionis",9,1,4,8,0.5,12,"Aristida adscensionis","2","Local non-specific dispersal",0.3,1.23
"Aristida adscensionis","Aristida adscensionis",9,1,4,8,0.5,12,"Aristida adscensionis","2","Local non-specific dispersal",0.3,1.23
"Aristida barbicollis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aristida hordeacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aristida kerstingii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aristolochia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aristolochia acuminata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aristolochia littoralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arivela viscosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Artemisia verlotiorum","Artemisia verlotiorum",8,6,6.8,6.5,0.3,6.6,"Artemisia verlotiorum","3","Myrmecochory",1.36666666666667,0.114667
"Artemisia vulgaris","Artemisia vulgaris",7.6,NA,7.3,6.4,0.1,5.9,"Artemisia vulgaris","3","Myrmecochory",1.26,0.158711111111111
"Asclepias mellodora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asparagus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asparagus africanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aspilia africana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aspilia bussei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aspilia helianthoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aspilia helianthoides prieureana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aspilia kotschyi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asplenium aethiopicum",NA,NA,NA,NA,NA,NA,NA,"Asplenium aethiopicum","3","Anemochory",NA,NA
"Asplenium africanum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Astraea lobata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asystasia buettneri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asystasia gangetica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asystasia vogeliana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Axonopus compressus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Axonopus purpusii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azadirachta indica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azolla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azolla pinnata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baccharoides guineensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bacopa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bacopa crenata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bacopa decumbens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baissea multiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baissea zygodioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Balanites aegyptiaca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Balanites wilsoniana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baphia nitida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baphia pubescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barbarea verna","Barbarea verna",8,5.1,6,5.5,0,6.3,"Barbarea verna","2","Local non-specific dispersal",0.372777777777778,0.940099999999999
"Basella alba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basilicum polystachyon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bergia suffruticosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bidens cynapiifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bidens pilosa",NA,NA,NA,NA,NA,NA,NA,"Bidens pilosa","2","Local non-specific dispersal",0.585,2.4664
"Biophytum umbraculum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blainvillea acmella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blighia sapida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blighia unijugata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blighia welwitschii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blumea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boehmeria penduliflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boerhavia coccinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boerhavia diffusa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boerhavia erecta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boerhavia repens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bolboschoenus maritimus","Bolboschoenus maritimus aggr.",8,9.6,6.2,7.6,3.7,NA,"Bolboschoenus maritimus","2","Local non-specific dispersal",0.71,2.94340625
"Bombax buonopozense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bonnaya antipoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Borassus flabellifer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boswellia dalzielii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bothriospermum zeylanicum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bouffordia dichotoma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brachiaria nana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brachiaria umbellata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brassica juncea",NA,NA,NA,NA,NA,NA,NA,"Brassica juncea","2","Local non-specific dispersal",0.8875,2.5
"Brassica rapa","Brassica rapa",7.8,4.9,6.9,6.8,0.3,6.1,"Brassica rapa","2","Local non-specific dispersal",0.707666666666667,2.08675
"Breynia fruticosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Breynia retusa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bridelia ferruginea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Briza minor","Briza minor",7.8,NA,4.5,5.8,0,9,"Briza minor","1","Local non-specific dispersal",0.235,0.324
"Bromus catharticus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulbostylis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulbostylis abortiva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulbostylis barbata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulbostylis cioniana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulbostylis hispidula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulbostylis hispidula hispidula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulbostylis hispidula senegalensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulbostylis pilosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Burnatia enneandra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cajanus cajan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cajanus scarabaeoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caladium bicolor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calliandra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calopogonium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calopogonium mucunoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calotropis procera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calycobolus africanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calycobolus heudelotii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Camonea umbellata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Campylostemon warneckeanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canna indica",NA,NA,NA,NA,NA,NA,NA,"Canna indica","2","Local non-specific dispersal",1.025,218.15
"Canthium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cantinoa americana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caperonia fistulosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caperonia palustris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capsicum annuum",NA,NA,NA,NA,NA,NA,NA,"Capsicum annuum","2","Local non-specific dispersal",0.53625,6
"Capsicum frutescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cardamine hirsuta","Cardamine hirsuta",6.5,NA,NA,5.4,0,NA,"Cardamine hirsuta","1","Local non-specific dispersal",0.157666666666667,0.135866666666666
"Cardiospermum grandiflorum",NA,NA,NA,NA,NA,NA,NA,"Cardiospermum grandiflorum","5","Anemochory",0.7,NA
"Cardiospermum halicacabum",NA,NA,NA,NA,NA,NA,NA,"Cardiospermum halicacabum","5","Anemochory",0.7,46.5
"Cardiospermum microcarpum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carex boryana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carex wahlenbergiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carica papaya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caroxylon imbricatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carpolobia lutea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cassia sieberiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Catharanthus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Catharanthus roseus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cecropia obtusa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cecropia peltata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ceiba pentandra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Celosia",NA,NA,NA,NA,NA,NA,NA,"Celosia argentea","2","Local non-specific dispersal",0.408333333333333,0.605
"Celosia argentea",NA,NA,NA,NA,NA,NA,NA,"Celosia argentea","2","Local non-specific dispersal",0.408333333333333,0.605
"Celosia isertii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Celosia trigyna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Celtis mildbraedii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Celtis zenkeri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cenchrus biflorus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cenchrus cafer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cenchrus ciliaris","Cenchrus ciliaris",9,2,2,NA,0,12,"Cenchrus ciliaris","2","Local non-specific dispersal",0.4,0.995
"Cenchrus clandestinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cenchrus echinatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cenchrus pedicellatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cenchrus purpureus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cenchrus ramosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cenchrus setosus setosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cenchrus violaceus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centella asiatica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
