"accepted_taxa","original_taxa_Dcube","Diaspore.exposure_Dcube","Diaspore.height_mm_Dcube","Diaspore.mass_mg_Dcube","Diaspore.type_Dcube","Fruit.type_Dcube","Anemochory_rank_Dcube","Epizoochory_rank_Dcube","Hydrochory_rank_Dcube"
"Anchomanes difformis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ancylobothrys petersiana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andropogon gayanus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andropogon gayanus bisquamulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andropogon leucostachyus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andropogon tectorum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aneilema",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aneilema beniniense",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aneilema lanceolatum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aneilema paludosum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aneilema umbrosum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angylocalyx oligophyllus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aniseia martinicensis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Annona",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Annona senegalensis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anopyxis klaineana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anredera cordifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthephora cristata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthocleista djalonensis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthocleista nobilis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthocleista procera",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthocleista vogelii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthoxanthum odoratum","Anthoxanthum odoratum l.","Covered partly",0.74,0.6554,"Fruit","Non-fleshy fruit",0.66,0.85,0.64
"Antiaris toxicaria",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antigonon leptopus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antrocaryon micraster",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aponogeton vallisnerioides",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arachis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arachis hypogaea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arachis pintoi",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aralia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argemone mexicana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argomuellera macrophylla",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arillastrum gummiferum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aristida",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aristida adscensionis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aristida barbicollis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aristida hordeacea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aristida kerstingii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aristolochia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aristolochia acuminata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aristolochia littoralis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arivela viscosa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Artemisia verlotiorum","Artemisia verlotiorum lamotte","Covered partly",0.4,0.114667,"Fruit","Non-fleshy fruit",0.64,0.65,NA
"Artemisia vulgaris","Artemisia vulgaris l.","Covered partly",NA,0.1712,"Fruit","Non-fleshy fruit",0.66,0.62,NA
"Asclepias mellodora",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asparagus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asparagus africanus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aspilia africana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aspilia bussei",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aspilia helianthoides",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aspilia helianthoides prieureana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aspilia kotschyi",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asplenium aethiopicum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asplenium africanum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Astraea lobata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asystasia buettneri",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asystasia gangetica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asystasia vogeliana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Axonopus compressus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Axonopus purpusii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azadirachta indica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azolla",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azolla pinnata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baccharoides guineensis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bacopa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bacopa crenata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bacopa decumbens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baissea multiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baissea zygodioides",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Balanites aegyptiaca",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Balanites wilsoniana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baphia nitida",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baphia pubescens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barbarea verna","Barbarea verna (mill.) asch.","Covered partly",0.4,0.8292,"Seed","Fruit with lateral aperture",0.26,0.48,NA
"Basella alba",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basilicum polystachyon",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bergia suffruticosa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bidens cynapiifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bidens pilosa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Biophytum umbraculum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blainvillea acmella",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blighia sapida",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blighia unijugata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blighia welwitschii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blumea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boehmeria penduliflora",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boerhavia coccinea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boerhavia diffusa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boerhavia erecta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boerhavia repens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bolboschoenus maritimus","Bolboschoenus maritimus (l.) palla","Covered partly",NA,NA,"Fruit","Non-fleshy fruit",0.16,NA,0.89
"Bombax buonopozense",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bonnaya antipoda",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Borassus flabellifer",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boswellia dalzielii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bothriospermum zeylanicum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bouffordia dichotoma",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brachiaria nana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brachiaria umbellata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brassica juncea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brassica rapa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Breynia fruticosa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Breynia retusa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bridelia ferruginea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Briza minor",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bromus catharticus","Bromus catharticus m. vahl","Covered partly",1.69,NA,"Fruit","Non-fleshy fruit",0.2,0.54,0.29
"Bulbostylis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulbostylis abortiva",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulbostylis barbata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulbostylis cioniana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulbostylis hispidula",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulbostylis hispidula hispidula",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulbostylis hispidula senegalensis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulbostylis pilosa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Burnatia enneandra",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cajanus cajan",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cajanus scarabaeoides",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caladium bicolor",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calliandra",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calopogonium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calopogonium mucunoides",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calotropis procera",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calycobolus africanus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calycobolus heudelotii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Camonea umbellata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Campylostemon warneckeanus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canna indica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canthium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cantinoa americana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caperonia fistulosa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caperonia palustris",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capsicum annuum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capsicum frutescens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cardamine hirsuta","Cardamine hirsuta l.","Enclosed",NA,0.18,"Seed","Explosive release mechanism",0.66,0.38,NA
"Cardiospermum grandiflorum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cardiospermum halicacabum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cardiospermum microcarpum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carex boryana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carex wahlenbergiana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carica papaya",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caroxylon imbricatum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carpolobia lutea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cassia sieberiana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Catharanthus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Catharanthus roseus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cecropia obtusa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cecropia peltata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ceiba pentandra",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Celosia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Celosia argentea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Celosia isertii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Celosia trigyna",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Celtis mildbraedii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Celtis zenkeri",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cenchrus biflorus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cenchrus cafer",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cenchrus ciliaris",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cenchrus clandestinus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cenchrus echinatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cenchrus pedicellatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cenchrus purpureus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cenchrus ramosus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cenchrus setosus setosus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cenchrus violaceus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centella asiatica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centotheca lappacea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centrosema",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centrosema brasilianum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centrosema plumieri",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centrosema pubescens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centrosema virginianum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cephalanthus tetrandrus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cerastium glomeratum","Cerastium glomeratum thuill.","Enclosed",NA,NA,"Seed","Fruit with upright aperture",0.74,0.47,0.17
"Ceratophyllum demersum","Ceratophyllum demersum l.","Exposed",NA,NA,"Fruit","Non-fleshy fruit",NA,NA,NA
"Ceratopteris cornuta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ceratopteris thalictroides",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ceropegia fusiformis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chamaecrista absus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chamaecrista diphylla",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chamaecrista kirkii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chamaecrista mimosoides",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chamaecrista nigricans",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chamaecrista rotundifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chasmanthera dependens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chassalia kolly",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chenopodium album","Chenopodium album agg.","Exposed",1,0.6214,"Fruit","Non-fleshy fruit",0.29,0.83,NA
"Chloris",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chloris barbata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chloris gayana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chloris pilosa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chloris pycnothrix",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chloris virgata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chlorophytum lancifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Christella dentata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chromolaena odorata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chrozophora brocchiana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chrysanthellum americanum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chrysopogon aciculatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chrysopogon zizanioides",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cinnamomum verum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cissampelos owariensis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cissampelos pareira",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cissus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cissus arguta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cissus erosa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cissus microdonta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cissus petiolata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cissus populnea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cissus quadrangularis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cissus verticillata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Citharexylum spinosum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Citrullus colocynthis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Citrullus lanatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clausena anisata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clematis mauritiana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cleome",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clerodendrum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clerodendrum capitatum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clerodendrum formicarum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clerodendrum polycephalum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clerodendrum silvanum silvanum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clerodendrum speciosissimum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clerodendrum splendens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clerodendrum splendidum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clerodendrum umbellatum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clerodendrum volubile",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clibadium surinamense",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clitoria ternatea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cnestis ferruginea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coccinia barteri",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coccinia grandis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cochlospermum planchonii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cochlospermum tinctorium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cocos nucifera",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Codiaeum variegatum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coix lacryma-jobi",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cola caricifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cola millenii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cola nitida",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coldenia procumbens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coleus amboinicus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coleus graniticola",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coleus monostachyus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colocasia esculenta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Combretum comosum hispidum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Combretum glutinosum",NA,NA,NA,NA,NA,NA,NA,NA,NA
